,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,31300000.0,30800000.0,30800000.0,30524000.0
Ordinary Shares Number,42978585.0,43390424.0,39100000.0,39266000.0
Share Issued,74278585.0,74190424.0,69900000.0,69790000.0
Net Debt,2038000000.0,1949000000.0,1686000000.0,1648000000.0
Total Debt,3587000000.0,3386000000.0,3084000000.0,3089000000.0
Tangible Book Value,13876000000.0,13202000000.0,8441000000.0,10140000000.0
Invested Capital,17463000000.0,16588000000.0,11525000000.0,13229000000.0
Net Tangible Assets,13876000000.0,13202000000.0,8441000000.0,10140000000.0
Common Stock Equity,13876000000.0,13202000000.0,8441000000.0,10140000000.0
Total Capitalization,15113000000.0,14239000000.0,9178000000.0,10883000000.0
Total Equity Gross Minority Interest,13876000000.0,13202000000.0,8441000000.0,10140000000.0
Stockholders Equity,13876000000.0,13202000000.0,8441000000.0,10140000000.0
Gains Losses Not Affecting Retained Earnings,-1138000000.0,-934000000.0,-1996000000.0,12000000.0
Other Equity Adjustments,-1138000000.0,-934000000.0,-1996000000.0,12000000.0
Treasury Stock,4108000000.0,3908000000.0,3908000000.0,3847000000.0
Retained Earnings,15309000000.0,14270000000.0,12042000000.0,11700000000.0
Additional Paid In Capital,3812000000.0,3773000000.0,2302000000.0,2274000000.0
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,42465000000.0,36197000000.0,31525000000.0,28045000000.0
Long Term Debt And Capital Lease Obligation,1237000000.0,1037000000.0,737000000.0,743000000.0
Long Term Debt,1237000000.0,1037000000.0,737000000.0,743000000.0
Current Debt And Capital Lease Obligation,2350000000.0,2349000000.0,2347000000.0,2346000000.0
Current Debt,2350000000.0,2349000000.0,2347000000.0,2346000000.0
Current Notes Payable,2350000000.0,2349000000.0,2347000000.0,2346000000.0
Payables And Accrued Expenses,807000000.0,809000000.0,587000000.0,484000000.0
Current Accrued Expenses,22000000.0,22000000.0,19000000.0,17000000.0
Interest Payable,22000000.0,22000000.0,19000000.0,17000000.0
Payables,785000000.0,787000000.0,568000000.0,467000000.0
Other Payable,84000000.0,137000000.0,1000000.0,17000000.0
Accounts Payable,701000000.0,650000000.0,567000000.0,450000000.0
Total Assets,56341000000.0,49399000000.0,39966000000.0,38185000000.0
Investments And Advances,34589000000.0,30910000000.0,24388000000.0,25312000000.0
Prepaid Assets,869000000.0,713000000.0,610000000.0,515000000.0
Receivables,9723000000.0,7898000000.0,6319000000.0,5349000000.0
Taxes Receivable,1223000000.0,868000000.0,459000000.0,2000000.0
Accounts Receivable,8500000000.0,7030000000.0,5860000000.0,5347000000.0
Cash Cash Equivalents And Short Term Investments,20438000000.0,16581000000.0,24666000000.0,24927000000.0
Other Short Term Investments,18889000000.0,15144000000.0,23268000000.0,23486000000.0
Cash And Cash Equivalents,1549000000.0,1437000000.0,1398000000.0,1441000000.0
