,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,31731107.0,7888105.0,700281.0,257268.0,
Ordinary Shares Number,557208477.0,580860368.0,587696476.0,585264244.0,
Share Issued,588939584.0,588748473.0,588396757.0,585521512.0,
Net Debt,,,,,2275000000.0
Total Debt,5067000000.0,4124000000.0,5958000000.0,5907000000.0,
Tangible Book Value,29351000000.0,28090000000.0,24779000000.0,22180000000.0,
Invested Capital,33953000000.0,31706000000.0,29642000000.0,27039000000.0,
Working Capital,5876000000.0,5861000000.0,4962000000.0,4542000000.0,
Net Tangible Assets,29351000000.0,28090000000.0,24779000000.0,22180000000.0,
Capital Lease Obligations,465000000.0,508000000.0,1095000000.0,1048000000.0,
Common Stock Equity,29351000000.0,28090000000.0,24779000000.0,22180000000.0,
Total Capitalization,33453000000.0,31706000000.0,28359000000.0,27039000000.0,
Total Equity Gross Minority Interest,29351000000.0,28090000000.0,24779000000.0,22180000000.0,
Stockholders Equity,29351000000.0,28090000000.0,24779000000.0,22180000000.0,
Gains Losses Not Affecting Retained Earnings,-4000000.0,-9000000.0,-8000000.0,-12000000.0,
Other Equity Adjustments,-4000000.0,-9000000.0,-8000000.0,-12000000.0,
Treasury Stock,3882000000.0,907000000.0,78000000.0,20000000.0,
Retained Earnings,26941000000.0,22634000000.0,18472000000.0,15919000000.0,
Additional Paid In Capital,6090000000.0,6166000000.0,6187000000.0,6087000000.0,
Capital Stock,206000000.0,206000000.0,206000000.0,206000000.0,
Common Stock,206000000.0,206000000.0,206000000.0,206000000.0,
Total Liabilities Net Minority Interest,17835000000.0,15767000000.0,16592000000.0,16056000000.0,
Total Non Current Liabilities Net Minority Interest,12481000000.0,11693000000.0,11079000000.0,12014000000.0,
Other Non Current Liabilities,2395000000.0,2526000000.0,1990000000.0,1635000000.0,
Non Current Deferred Liabilities,5866000000.0,5402000000.0,4710000000.0,4749000000.0,
Non Current Deferred Taxes Liabilities,5866000000.0,5402000000.0,4710000000.0,4749000000.0,
Long Term Debt And Capital Lease Obligation,4220000000.0,3765000000.0,4379000000.0,5630000000.0,
Long Term Capital Lease Obligation,118000000.0,149000000.0,799000000.0,771000000.0,
Long Term Debt,4102000000.0,3616000000.0,3580000000.0,4859000000.0,
Current Liabilities,5354000000.0,4074000000.0,5513000000.0,4042000000.0,
Other Current Liabilities,497000000.0,286000000.0,515000000.0,569000000.0,
Current Debt And Capital Lease Obligation,847000000.0,359000000.0,1579000000.0,277000000.0,
Current Capital Lease Obligation,347000000.0,359000000.0,296000000.0,277000000.0,
Current Debt,500000000.0,34000000.0,1283000000.0,,750000000.0
Other Current Borrowings,500000000.0,34000000.0,1283000000.0,,750000000.0
Payables And Accrued Expenses,4010000000.0,3429000000.0,3419000000.0,3196000000.0,
Payables,4010000000.0,3429000000.0,3419000000.0,3196000000.0,
Dividends Payable,539000000.0,526000000.0,482000000.0,436000000.0,
Total Tax Payable,1007000000.0,466000000.0,405000000.0,518000000.0,
Accounts Payable,2464000000.0,2437000000.0,2532000000.0,2242000000.0,
Total Assets,47186000000.0,43857000000.0,41371000000.0,38236000000.0,
Total Non Current Assets,35956000000.0,33922000000.0,30896000000.0,29652000000.0,
Other Non Current Assets,1705000000.0,1583000000.0,1434000000.0,1215000000.0,
Non Current Deferred Assets,39000000.0,42000000.0,33000000.0,11000000.0,
Non Current Deferred Taxes Assets,39000000.0,42000000.0,33000000.0,11000000.0,
Net PPE,34212000000.0,32297000000.0,29429000000.0,28426000000.0,
Accumulated Depreciation,-49297000000.0,-45290000000.0,-42679000000.0,-43971000000.0,
Gross PPE,83509000000.0,77587000000.0,72108000000.0,72397000000.0,
Other Properties,6418000000.0,5497000000.0,4786000000.0,4753000000.0,
Current Assets,11230000000.0,9935000000.0,10475000000.0,8584000000.0,
Other Current Assets,503000000.0,560000000.0,574000000.0,456000000.0,
Hedging Assets Current,0.0,106000000.0,0.0,0.0,
Inventory,985000000.0,1275000000.0,1058000000.0,584000000.0,
Receivables,2650000000.0,2716000000.0,2871000000.0,2335000000.0,
Taxes Receivable,,0.0,97000000.0,0.0,23000000.0
Accounts Receivable,2650000000.0,2716000000.0,2774000000.0,2335000000.0,
Cash Cash Equivalents And Short Term Investments,7092000000.0,5278000000.0,5972000000.0,5209000000.0,
Cash And Cash Equivalents,7092000000.0,5278000000.0,5972000000.0,5209000000.0,
