,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,56000000.0,58300000.0,58000000.0,58000000.0,
Share Issued,56000000.0,58300000.0,58000000.0,58000000.0,
Total Debt,3118000000.0,2385000000.0,2391000000.0,2392000000.0,
Tangible Book Value,2558000000.0,2766000000.0,1574000000.0,1378000000.0,
Invested Capital,7419000000.0,6395000000.0,5140000000.0,4803000000.0,
Working Capital,4877000000.0,4374000000.0,3229000000.0,3017000000.0,
Net Tangible Assets,2558000000.0,2766000000.0,1574000000.0,1378000000.0,
Capital Lease Obligations,195000000.0,205000000.0,215000000.0,219000000.0,
Common Stock Equity,4496000000.0,4215000000.0,2964000000.0,2630000000.0,
Total Capitalization,7419000000.0,6395000000.0,5140000000.0,4803000000.0,
Total Equity Gross Minority Interest,4496000000.0,4215000000.0,2964000000.0,2630000000.0,
Stockholders Equity,4496000000.0,4215000000.0,2964000000.0,2630000000.0,
Gains Losses Not Affecting Retained Earnings,-57000000.0,-82000000.0,-160000000.0,-5000000.0,
Other Equity Adjustments,-57000000.0,-82000000.0,-160000000.0,-5000000.0,
Retained Earnings,4091000000.0,3887000000.0,2796000000.0,2399000000.0,
Additional Paid In Capital,462000000.0,410000000.0,328000000.0,236000000.0,
Capital Stock,0.0,0.0,0.0,0.0,
Common Stock,0.0,0.0,0.0,0.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,11134000000.0,10677000000.0,9350000000.0,9579000000.0,
Total Non Current Liabilities Net Minority Interest,3238000000.0,2509000000.0,2495000000.0,2532000000.0,
Other Non Current Liabilities,120000000.0,124000000.0,104000000.0,140000000.0,
Long Term Debt And Capital Lease Obligation,3118000000.0,2385000000.0,2391000000.0,2392000000.0,
Long Term Capital Lease Obligation,195000000.0,205000000.0,215000000.0,219000000.0,
Long Term Debt,2923000000.0,2180000000.0,2176000000.0,2173000000.0,
Current Liabilities,7896000000.0,8168000000.0,6855000000.0,7047000000.0,
Other Current Liabilities,,,,,1253000000.0
Current Deferred Liabilities,51000000.0,418000000.0,359000000.0,370000000.0,
Current Deferred Revenue,51000000.0,418000000.0,359000000.0,370000000.0,
Payables And Accrued Expenses,7845000000.0,7750000000.0,6496000000.0,6677000000.0,
Payables,7845000000.0,7750000000.0,6496000000.0,6677000000.0,
Other Payable,6514000000.0,6498000000.0,5607000000.0,5835000000.0,
Accounts Payable,1331000000.0,1252000000.0,889000000.0,842000000.0,
Total Assets,15630000000.0,14892000000.0,12314000000.0,12209000000.0,
Total Non Current Assets,2857000000.0,2350000000.0,2230000000.0,2145000000.0,
Other Non Current Assets,424000000.0,404000000.0,361000000.0,391000000.0,
Non Current Deferred Assets,207000000.0,227000000.0,220000000.0,106000000.0,
Non Current Deferred Taxes Assets,207000000.0,227000000.0,220000000.0,106000000.0,
Goodwill And Other Intangible Assets,1938000000.0,1449000000.0,1390000000.0,1252000000.0,
Other Intangible Assets,267000000.0,208000000.0,275000000.0,270000000.0,
Goodwill,1671000000.0,1241000000.0,1115000000.0,982000000.0,
Net PPE,288000000.0,270000000.0,259000000.0,396000000.0,
Accumulated Depreciation,-806000000.0,-729000000.0,-695000000.0,-632000000.0,
Gross PPE,1094000000.0,999000000.0,954000000.0,1028000000.0,
Other Properties,270000000.0,266000000.0,293000000.0,206000000.0,
Machinery Furniture Equipment,788000000.0,687000000.0,615000000.0,784000000.0,
Buildings And Improvements,35000000.0,41000000.0,41000000.0,37000000.0,
Land And Improvements,1000000.0,5000000.0,5000000.0,1000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,12773000000.0,12542000000.0,10084000000.0,10064000000.0,
Other Current Assets,487000000.0,331000000.0,277000000.0,247000000.0,
Prepaid Assets,,,,247000000.0,175000000.0
Receivables,3299000000.0,3104000000.0,2302000000.0,2177000000.0,
Other Receivables,,420000000.0,309000000.0,335000000.0,255000000.0
Accounts Receivable,3299000000.0,3104000000.0,1993000000.0,1842000000.0,
Cash Cash Equivalents And Short Term Investments,8987000000.0,9107000000.0,7505000000.0,7640000000.0,
Other Short Term Investments,4325000000.0,4259000000.0,3499000000.0,3202000000.0,
Cash And Cash Equivalents,4662000000.0,4848000000.0,4006000000.0,4438000000.0,
