,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,11273000000.0,8447000000.0,21119000000.0,9870000000.0
Repurchase Of Capital Stock,-173000000.0,-62000000.0,-1169000000.0,-2805000000.0
Repayment Of Debt,-6042000000.0,-4084000000.0,-6926000000.0,-11432000000.0
Issuance Of Debt,12017000000.0,15583000000.0,8732000000.0,2626000000.0
Issuance Of Capital Stock,32000000.0,951000000.0,458000000.0,2264000000.0
Interest Paid Supplemental Data,15382000000.0,12282000000.0,2717000000.0,1061000000.0
Income Tax Paid Supplemental Data,499000000.0,645000000.0,767000000.0,535000000.0
End Cash Position,56502000000.0,61192000000.0,53542000000.0,28905000000.0
Beginning Cash Position,61192000000.0,53542000000.0,28905000000.0,62580000000.0
Changes In Cash,-4690000000.0,7650000000.0,24637000000.0,-33675000000.0
Financing Cash Flow,8571000000.0,-19722000000.0,-3982000000.0,13942000000.0
Cash Flow From Continuing Financing Activities,8571000000.0,-19722000000.0,-3982000000.0,13942000000.0
Net Other Financing Charges,-55000000.0,,,-167000000.0
Cash Dividends Paid,-3448000000.0,-3311000000.0,-3075000000.0,-2887000000.0
Preferred Stock Dividend Paid,-356000000.0,-341000000.0,-299000000.0,-308000000.0
Common Stock Dividend Paid,-3092000000.0,-2970000000.0,-2776000000.0,-2579000000.0
Net Preferred Stock Issuance,0.0,0.0,-663000000.0,971000000.0
Preferred Stock Payments,0.0,0.0,-1100000000.0,-1250000000.0
Preferred Stock Issuance,0.0,0.0,437000000.0,2221000000.0
Net Common Stock Issuance,-141000000.0,889000000.0,-48000000.0,-1512000000.0
Common Stock Payments,-173000000.0,-62000000.0,-69000000.0,-1555000000.0
Common Stock Issuance,32000000.0,951000000.0,21000000.0,43000000.0
Net Issuance Payments Of Debt,6214000000.0,-5009000000.0,17019000000.0,-8776000000.0
Net Short Term Debt Issuance,239000000.0,-16508000000.0,15213000000.0,30000000.0
Net Long Term Debt Issuance,5975000000.0,11499000000.0,1806000000.0,-8806000000.0
Long Term Debt Payments,-6042000000.0,-4084000000.0,-6926000000.0,-11432000000.0
Long Term Debt Issuance,12017000000.0,15583000000.0,8732000000.0,2626000000.0
Investing Cash Flow,-24534000000.0,18925000000.0,7500000000.0,-57487000000.0
Cash Flow From Continuing Investing Activities,-24534000000.0,18925000000.0,7500000000.0,-57487000000.0
Net Other Investing Changes,-1835000000.0,-1184000000.0,-5392000000.0,664000000.0
Net Investment Purchase And Sale,-10840000000.0,14413000000.0,25394000000.0,-41766000000.0
Sale Of Investment,25292000000.0,23687000000.0,57077000000.0,58367000000.0
Purchase Of Investment,-36132000000.0,-9274000000.0,-31683000000.0,-100133000000.0
Net Business Purchase And Sale,-103000000.0,-330000000.0,12257000000.0,-661000000.0
Operating Cash Flow,11273000000.0,8447000000.0,21119000000.0,9870000000.0
Cash Flow From Continuing Operating Activities,11273000000.0,8447000000.0,21119000000.0,9870000000.0
Other Non Cash Items,1858000000.0,-401000000.0,12558000000.0,4116000000.0
Depreciation Amortization Depletion,939000000.0,1018000000.0,560000000.0,497000000.0
Depreciation And Amortization,939000000.0,1018000000.0,560000000.0,497000000.0
Amortization Cash Flow,569000000.0,636000000.0,215000000.0,159000000.0
Amortization Of Intangibles,569000000.0,636000000.0,215000000.0,159000000.0
Depreciation,370000000.0,382000000.0,345000000.0,338000000.0
Operating Gains Losses,-61000000.0,126000000.0,199000000.0,-1533000000.0
Gain Loss On Investment Securities,123000000.0,119000000.0,-188000000.0,-398000000.0
Net Income From Continuing Operations,6299000000.0,5429000000.0,5825000000.0,7963000000.0
