,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,183000000.0,436000000.0,685000000.0,-204306000.0
Repayment Of Debt,-1147000000.0,-155000000.0,-722000000.0,-2873199000.0
Issuance Of Debt,2768000000.0,902000000.0,1871000000.0,3878662000.0
Issuance Of Capital Stock,1673000000.0,734000000.0,796000000.0,497870000.0
Capital Expenditure,-3066000000.0,-2781000000.0,-2278000000.0,-2751512000.0
Interest Paid Supplemental Data,486000000.0,445000000.0,412000000.0,426439000.0
Income Tax Paid Supplemental Data,185000000.0,153000000.0,140000000.0,134411000.0
End Cash Position,3082000000.0,2096000000.0,1908000000.0,1549454000.0
Beginning Cash Position,2096000000.0,1908000000.0,1549000000.0,1625695000.0
Effect Of Exchange Rate Changes,-49000000.0,-16000000.0,-98000000.0,-30474000.0
Changes In Cash,1035000000.0,204000000.0,457000000.0,-45767000.0
Financing Cash Flow,1723000000.0,211000000.0,857000000.0,413765000.0
Cash Flow From Continuing Financing Activities,1723000000.0,211000000.0,857000000.0,413765000.0
Net Other Financing Charges,-19000000.0,18000000.0,-18000000.0,-124287000.0
Proceeds From Stock Option Exercised,91000000.0,87000000.0,82000000.0,77628000.0
Cash Dividends Paid,-1643000000.0,-1375000000.0,-1152000000.0,-1042909000.0
Common Stock Dividend Paid,-1643000000.0,-1375000000.0,-1152000000.0,-1042909000.0
Net Common Stock Issuance,1673000000.0,734000000.0,796000000.0,497870000.0
Common Stock Issuance,1673000000.0,734000000.0,796000000.0,497870000.0
Net Issuance Payments Of Debt,1621000000.0,747000000.0,1149000000.0,1005463000.0
Net Long Term Debt Issuance,1621000000.0,747000000.0,1149000000.0,1005463000.0
Long Term Debt Payments,-1147000000.0,-155000000.0,-722000000.0,-2873199000.0
Long Term Debt Issuance,2768000000.0,902000000.0,1871000000.0,3878662000.0
Investing Cash Flow,-3937000000.0,-3224000000.0,-3363000000.0,-3006738000.0
Cash Flow From Continuing Investing Activities,-3937000000.0,-3224000000.0,-3363000000.0,-3006738000.0
Net Other Investing Changes,73000000.0,77000000.0,250000000.0,208585000.0
Dividends Received Cfi,11000000.0,0.0,0.0,
Net Investment Purchase And Sale,-520000000.0,0.0,22000000.0,-103476000.0
Sale Of Investment,0.0,0.0,22000000.0,4057000.0
Purchase Of Investment,-520000000.0,0.0,0.0,-107533000.0
Net Investment Properties Purchase And Sale,-337000000.0,-384000000.0,-248000000.0,-201837000.0
Purchase Of Investment Properties,-337000000.0,-384000000.0,-248000000.0,-201837000.0
Net Business Purchase And Sale,-98000000.0,-136000000.0,-1109000000.0,-158498000.0
Purchase Of Business,-98000000.0,-136000000.0,-1109000000.0,-158498000.0
Net PPE Purchase And Sale,-3066000000.0,-2781000000.0,-2278000000.0,-2751512000.0
Purchase Of PPE,-3066000000.0,-2781000000.0,-2278000000.0,-2751512000.0
Operating Cash Flow,3249000000.0,3217000000.0,2963000000.0,2547206000.0
Cash Flow From Continuing Operating Activities,3249000000.0,3217000000.0,2963000000.0,2547206000.0
Change In Working Capital,-340000000.0,-77000000.0,25000000.0,-132734000.0
Change In Other Working Capital,-9000000.0,4000000.0,-8000000.0,-16602000.0
Change In Other Current Liabilities,-158000000.0,-85000000.0,-24000000.0,-205177000.0
Change In Other Current Assets,-295000000.0,-7000000.0,97000000.0,26322000.0
Change In Payables And Accrued Expense,95000000.0,161000000.0,114000000.0,64596000.0
Change In Receivables,27000000.0,-150000000.0,-154000000.0,-1873000.0
Changes In Account Receivables,27000000.0,-150000000.0,-154000000.0,-1873000.0
Other Non Cash Items,52000000.0,63000000.0,81000000.0,45852000.0
Stock Based Compensation,462000000.0,407000000.0,404000000.0,363774000.0
Provisionand Write Offof Assets,21000000.0,15000000.0,7000000.0,10016000.0
Asset Impairment Charge,233000000.0,0.0,0.0,0.0
Depreciation Amortization Depletion,2009000000.0,1845000000.0,1737000000.0,1656290000.0
Depreciation And Amortization,2009000000.0,1845000000.0,1737000000.0,1656290000.0
Amortization Cash Flow,208000000.0,208000000.0,205000000.0,205484000.0
Amortization Of Intangibles,208000000.0,208000000.0,205000000.0,205484000.0
Depreciation,1801000000.0,1637000000.0,1532000000.0,1450806000.0
Operating Gains Losses,-2000000.0,-5000000.0,4000000.0,104280000.0
Net Income From Continuing Operations,814000000.0,969000000.0,705000000.0,499728000.0
