,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,5200000000.0,4580000000.0,5978000000.0,4885000000.0
Repurchase Of Capital Stock,-2138000000.0,-645000000.0,-2544000000.0,-652000000.0
Repayment Of Debt,0.0,-8291000000.0,-1000000.0,-10531000000.0
Issuance Of Debt,1073000000.0,7693000000.0,0.0,9961000000.0
Issuance Of Capital Stock,284000000.0,308000000.0,429000000.0,474000000.0
Capital Expenditure,-1587000000.0,-1459000000.0,-1368000000.0,-1355000000.0
Interest Paid Supplemental Data,826000000.0,606000000.0,540000000.0,582000000.0
Income Tax Paid Supplemental Data,1622000000.0,1548000000.0,996000000.0,1250000000.0
End Cash Position,1284000000.0,1543000000.0,3714000000.0,3593000000.0
Beginning Cash Position,1543000000.0,3714000000.0,3593000000.0,4140000000.0
Effect Of Exchange Rate Changes,-230000000.0,243000000.0,-231000000.0,215000000.0
Changes In Cash,-29000000.0,-2414000000.0,352000000.0,-762000000.0
Financing Cash Flow,-4450000000.0,-4960000000.0,-5336000000.0,-4136000000.0
Cash Flow From Continuing Financing Activities,-4450000000.0,-4960000000.0,-5336000000.0,-4136000000.0
Net Other Financing Charges,-3000000.0,-409000000.0,163000000.0,-268000000.0
Cash Dividends Paid,-3666000000.0,-3616000000.0,-3383000000.0,-3120000000.0
Common Stock Dividend Paid,-3666000000.0,-3616000000.0,-3383000000.0,-3120000000.0
Net Common Stock Issuance,-1854000000.0,-337000000.0,-2115000000.0,-178000000.0
Common Stock Payments,-2138000000.0,-645000000.0,-2544000000.0,-652000000.0
Common Stock Issuance,284000000.0,308000000.0,429000000.0,474000000.0
Net Issuance Payments Of Debt,1073000000.0,-598000000.0,-1000000.0,-570000000.0
Net Short Term Debt Issuance,1073000000.0,5000000.0,0.0,-375000000.0
Short Term Debt Payments,0.0,-2279000000.0,0.0,-3164000000.0
Short Term Debt Issuance,1073000000.0,2284000000.0,0.0,2789000000.0
Net Long Term Debt Issuance,0.0,-603000000.0,-1000000.0,-195000000.0
Long Term Debt Payments,0.0,-6012000000.0,-1000000.0,-7367000000.0
Long Term Debt Issuance,0.0,5409000000.0,0.0,7172000000.0
Investing Cash Flow,-2366000000.0,-3493000000.0,-1659000000.0,-2866000000.0
Cash Flow From Continuing Investing Activities,-2366000000.0,-3493000000.0,-1659000000.0,-2866000000.0
Net Other Investing Changes,-261000000.0,4000000.0,-10000000.0,-54000000.0
Net Investment Purchase And Sale,-307000000.0,-171000000.0,-190000000.0,-463000000.0
Sale Of Investment,7441000000.0,7343000000.0,9692000000.0,11345000000.0
Purchase Of Investment,-7748000000.0,-7514000000.0,-9882000000.0,-11808000000.0
Net Business Purchase And Sale,-211000000.0,-1867000000.0,-91000000.0,-994000000.0
Purchase Of Business,-211000000.0,-1867000000.0,-91000000.0,-994000000.0
Net PPE Purchase And Sale,-1587000000.0,-1459000000.0,-1368000000.0,-1355000000.0
Purchase Of PPE,-1587000000.0,-1459000000.0,-1368000000.0,-1355000000.0
Operating Cash Flow,6787000000.0,6039000000.0,7346000000.0,6240000000.0
Cash Flow From Continuing Operating Activities,6787000000.0,6039000000.0,7346000000.0,6240000000.0
Change In Working Capital,-484000000.0,-967000000.0,-889000000.0,-701000000.0
Change In Other Working Capital,-345000000.0,-148000000.0,-65000000.0,-549000000.0
Change In Payables And Accrued Expense,391000000.0,696000000.0,213000000.0,531000000.0
Change In Inventory,-139000000.0,-939000000.0,-560000000.0,78000000.0
Change In Receivables,-391000000.0,-576000000.0,-477000000.0,-761000000.0
Changes In Account Receivables,-391000000.0,-576000000.0,-477000000.0,-761000000.0
Other Non Cash Items,573000000.0,270000000.0,138000000.0,251000000.0
Stock Based Compensation,393000000.0,355000000.0,359000000.0,344000000.0
Provisionand Write Offof Assets,90000000.0,73000000.0,58000000.0,128000000.0
Asset Impairment Charge,371000000.0,0.0,515000000.0,0.0
Deferred Tax,-508000000.0,-226000000.0,-604000000.0,-422000000.0
Deferred Income Tax,-508000000.0,-226000000.0,-604000000.0,-422000000.0
Depreciation Amortization Depletion,2647000000.0,2697000000.0,2707000000.0,2702000000.0
Depreciation And Amortization,2647000000.0,2697000000.0,2707000000.0,2702000000.0
Amortization Cash Flow,1693000000.0,1698000000.0,1733000000.0,1783000000.0
Amortization Of Intangibles,1693000000.0,1698000000.0,1733000000.0,1783000000.0
Depreciation,954000000.0,999000000.0,974000000.0,919000000.0
Operating Gains Losses,,53000000.0,,308000000.0
Net Income From Continuing Operations,3705000000.0,3784000000.0,5062000000.0,3630000000.0
