,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,4701000000.0,3821000000.0,4423000000.0,4603000000.0
Repurchase Of Capital Stock,-1930000000.0,-1884000000.0,-2332000000.0,-1485000000.0
Repayment Of Debt,-1058000000.0,-59000000.0,-776000000.0,-750000000.0
Issuance Of Debt,5474000000.0,1238000000.0,0.0,1023000000.0
Capital Expenditure,-255000000.0,-344000000.0,-533000000.0,-341000000.0
Interest Paid Supplemental Data,289000000.0,200000000.0,177000000.0,189000000.0
Income Tax Paid Supplemental Data,1699000000.0,1392000000.0,1067000000.0,2720000000.0
End Cash Position,12779000000.0,8753000000.0,7433000000.0,9340000000.0
Beginning Cash Position,8753000000.0,7433000000.0,9340000000.0,8681000000.0
Effect Of Exchange Rate Changes,-162000000.0,106000000.0,-291000000.0,-61000000.0
Changes In Cash,4188000000.0,1214000000.0,-1616000000.0,720000000.0
Financing Cash Flow,2236000000.0,-1992000000.0,-5442000000.0,-2287000000.0
Cash Flow From Continuing Financing Activities,2236000000.0,-1992000000.0,-5442000000.0,-2287000000.0
Net Other Financing Charges,2387000000.0,1653000000.0,645000000.0,1472000000.0
Proceeds From Stock Option Exercised,464000000.0,95000000.0,11000000.0,0.0
Cash Dividends Paid,-3101000000.0,-3035000000.0,-2990000000.0,-2547000000.0
Common Stock Dividend Paid,-3101000000.0,-3035000000.0,-2990000000.0,-2547000000.0
Net Common Stock Issuance,-1930000000.0,-1884000000.0,-2332000000.0,-1485000000.0
Common Stock Payments,-1930000000.0,-1884000000.0,-2332000000.0,-1485000000.0
Net Issuance Payments Of Debt,4416000000.0,1179000000.0,-776000000.0,273000000.0
Net Long Term Debt Issuance,4416000000.0,1179000000.0,-776000000.0,273000000.0
Long Term Debt Payments,-1058000000.0,-59000000.0,-776000000.0,-750000000.0
Long Term Debt Issuance,5474000000.0,1238000000.0,0.0,1023000000.0
Investing Cash Flow,-3004000000.0,-959000000.0,-1130000000.0,-1937000000.0
Cash Flow From Continuing Investing Activities,-3004000000.0,-959000000.0,-1130000000.0,-1937000000.0
Dividends Received Cfi,366000000.0,46000000.0,70000000.0,95000000.0
Net Investment Purchase And Sale,-179000000.0,-472000000.0,-667000000.0,-585000000.0
Sale Of Investment,766000000.0,400000000.0,242000000.0,429000000.0
Purchase Of Investment,-945000000.0,-872000000.0,-909000000.0,-1014000000.0
Net Business Purchase And Sale,-2936000000.0,-189000000.0,0.0,-1106000000.0
Purchase Of Business,-2936000000.0,-189000000.0,0.0,-1106000000.0
Net PPE Purchase And Sale,-255000000.0,-344000000.0,-533000000.0,-341000000.0
Purchase Of PPE,-255000000.0,-344000000.0,-533000000.0,-341000000.0
Operating Cash Flow,4956000000.0,4165000000.0,4956000000.0,4944000000.0
Cash Flow From Continuing Operating Activities,4956000000.0,4165000000.0,4956000000.0,4944000000.0
Dividend Received Cfo,57000000.0,49000000.0,50000000.0,84000000.0
Change In Working Capital,176000000.0,-346000000.0,-897000000.0,658000000.0
Change In Other Working Capital,367000000.0,145000000.0,-711000000.0,412000000.0
Change In Other Current Liabilities,-382000000.0,375000000.0,-481000000.0,75000000.0
Change In Other Current Assets,375000000.0,-254000000.0,30000000.0,151000000.0
Change In Payables And Accrued Expense,259000000.0,-26000000.0,-151000000.0,342000000.0
Change In Receivables,-443000000.0,-586000000.0,416000000.0,-322000000.0
Changes In Account Receivables,-443000000.0,-586000000.0,416000000.0,-322000000.0
Other Non Cash Items,-2579000000.0,-1637000000.0,-1022000000.0,-1505000000.0
Stock Based Compensation,753000000.0,630000000.0,708000000.0,734000000.0
Asset Impairment Charge,50000000.0,0.0,0.0,
Deferred Tax,-106000000.0,124000000.0,602000000.0,-865000000.0
Deferred Income Tax,-106000000.0,124000000.0,602000000.0,-865000000.0
Depreciation Amortization Depletion,529000000.0,427000000.0,418000000.0,415000000.0
Depreciation And Amortization,529000000.0,427000000.0,418000000.0,415000000.0
Operating Gains Losses,-436000000.0,-758000000.0,103000000.0,-782000000.0
Earnings Losses From Equity Investments,-41000000.0,-378000000.0,-29000000.0,-315000000.0
Gain Loss On Investment Securities,-395000000.0,-380000000.0,132000000.0,-467000000.0
Net Income From Continuing Operations,6512000000.0,5676000000.0,4994000000.0,6205000000.0
