,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,810000000.0,998000000.0,1028000000.0,1074000000.0,
Repurchase Of Capital Stock,-360000000.0,-38000000.0,-1040000000.0,-877000000.0,
Repayment Of Debt,-2145000000.0,-3106000000.0,-1692000000.0,-4950000000.0,
Issuance Of Debt,2128000000.0,4611000000.0,1644000000.0,5035000000.0,
Capital Expenditure,-311000000.0,-358000000.0,-222000000.0,-293000000.0,
Interest Paid Supplemental Data,230000000.0,197000000.0,71000000.0,76000000.0,
Income Tax Paid Supplemental Data,322000000.0,305000000.0,346000000.0,423000000.0,
End Cash Position,239000000.0,299000000.0,278000000.0,274000000.0,
Beginning Cash Position,299000000.0,278000000.0,274000000.0,312000000.0,
Effect Of Exchange Rate Changes,-29000000.0,5000000.0,-24000000.0,-1000000.0,
Changes In Cash,-31000000.0,16000000.0,28000000.0,-37000000.0,
Financing Cash Flow,-746000000.0,1102000000.0,-1394000000.0,-985000000.0,
Cash Flow From Continuing Financing Activities,-746000000.0,1102000000.0,-1394000000.0,-985000000.0,
Net Other Financing Charges,-51000000.0,-63000000.0,-22000000.0,-120000000.0,
Cash Dividends Paid,-318000000.0,-302000000.0,-284000000.0,-73000000.0,
Common Stock Dividend Paid,-318000000.0,-302000000.0,-284000000.0,-73000000.0,
Net Common Stock Issuance,-360000000.0,-38000000.0,-1040000000.0,-877000000.0,
Common Stock Payments,-360000000.0,-38000000.0,-1040000000.0,-877000000.0,
Net Issuance Payments Of Debt,-17000000.0,1505000000.0,-48000000.0,85000000.0,
Net Short Term Debt Issuance,-547000000.0,0.0,0.0,1317912000.0,
Short Term Debt Payments,-547000000.0,0.0,0.0,-3716955000.0,
Short Term Debt Issuance,,,,5034867000.0,841485000.0
Net Long Term Debt Issuance,530000000.0,1505000000.0,-48000000.0,85000000.0,
Long Term Debt Payments,-1598000000.0,-3106000000.0,-1692000000.0,-4950000000.0,
Long Term Debt Issuance,2128000000.0,4611000000.0,1644000000.0,5035000000.0,
Investing Cash Flow,-406000000.0,-2442000000.0,172000000.0,-419000000.0,
Cash Flow From Continuing Investing Activities,-406000000.0,-2442000000.0,172000000.0,-419000000.0,
Net Other Investing Changes,-35000000.0,-18000000.0,-1000000.0,-29000000.0,
Net Investment Purchase And Sale,0.0,49000000.0,0.0,0.0,
Sale Of Investment,0.0,49000000.0,0.0,0.0,
Net Business Purchase And Sale,-60000000.0,-2115000000.0,395000000.0,-117000000.0,
Sale Of Business,,110000000.0,399000000.0,7000000.0,5000000.0
Purchase Of Business,-60000000.0,-2225000000.0,-4000000.0,-124000000.0,
Net PPE Purchase And Sale,-311000000.0,-358000000.0,-222000000.0,-273000000.0,
Sale Of PPE,,11000000.0,9000000.0,20000000.0,17000000.0
Purchase Of PPE,-311000000.0,-358000000.0,-222000000.0,-293000000.0,
Operating Cash Flow,1121000000.0,1356000000.0,1250000000.0,1367000000.0,
Cash Flow From Continuing Operating Activities,1121000000.0,1356000000.0,1250000000.0,1367000000.0,
Change In Working Capital,-57000000.0,77000000.0,-35000000.0,-3000000.0,
Change In Other Working Capital,-11000000.0,-8000000.0,36000000.0,-35000000.0,
Change In Other Current Liabilities,17000000.0,37000000.0,-15000000.0,,
Change In Other Current Assets,-59000000.0,-23000000.0,33000000.0,,
Change In Payables And Accrued Expense,251000000.0,-5000000.0,269000000.0,283000000.0,
Change In Payable,251000000.0,-5000000.0,269000000.0,283000000.0,
Change In Account Payable,251000000.0,-5000000.0,269000000.0,283000000.0,
Change In Prepaid Assets,,,,,34945000.0
Change In Inventory,-253000000.0,71000000.0,-342000000.0,-235000000.0,
Change In Receivables,-2000000.0,5000000.0,-16000000.0,-16000000.0,
Other Non Cash Items,83000000.0,18000000.0,-14000000.0,-37000000.0,
Stock Based Compensation,30000000.0,40000000.0,38000000.0,34000000.0,
Asset Impairment Charge,,,,0.0,0.0
Deferred Tax,-34000000.0,13000000.0,6000000.0,-27000000.0,
Deferred Income Tax,-34000000.0,13000000.0,6000000.0,-27000000.0,
Depreciation Amortization Depletion,406000000.0,319000000.0,264000000.0,284000000.0,
Depreciation And Amortization,406000000.0,319000000.0,264000000.0,284000000.0,
Amortization Cash Flow,182000000.0,126000000.0,95000000.0,,
Amortization Of Intangibles,182000000.0,126000000.0,95000000.0,,
Depreciation,225000000.0,193000000.0,169000000.0,,
Operating Gains Losses,,-49000000.0,-159000000.0,24000000.0,16000000.0
Net Foreign Currency Exchange Gain Loss,0.0,-49000000.0,0.0,0.0,
Gain Loss On Sale Of Business,0.0,0.0,-159000000.0,0.0,
Net Income From Continuing Operations,693000000.0,938000000.0,1150000000.0,1092000000.0,
