,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,3420253000.0,3832675000.0,6100756000.0,3921672000.0
Repurchase Of Capital Stock,-661065000.0,-418024000.0,-465956000.0,-1272774000.0
Repayment Of Debt,-103221000.0,-502460000.0,-280768000.0,0.0
Issuance Of Debt,741173000.0,494975000.0,3521544000.0,2222544000.0
Capital Expenditure,-61409000.0,-224231000.0,-235497000.0,-64316000.0
End Cash Position,2176192000.0,3272063000.0,4493715000.0,2199732000.0
Beginning Cash Position,3272063000.0,4493715000.0,2199732000.0,2064456000.0
Effect Of Exchange Rate Changes,-14563000.0,4988000.0,-12318000.0,-9806000.0
Changes In Cash,-1081308000.0,-1226640000.0,2306301000.0,145082000.0
Financing Cash Flow,-4501561000.0,-5053895000.0,-3794455000.0,-3776590000.0
Net Other Financing Charges,-54265000.0,-359939000.0,-50490000.0,-123786000.0
Cash Dividends Paid,-4424183000.0,-4268447000.0,-6518785000.0,-4602574000.0
Common Stock Dividend Paid,-4424183000.0,-4268447000.0,-6518785000.0,-4602574000.0
Net Common Stock Issuance,-661065000.0,-418024000.0,-465956000.0,-1272774000.0
Common Stock Payments,-661065000.0,-418024000.0,-465956000.0,-1272774000.0
Net Issuance Payments Of Debt,637952000.0,-7485000.0,3240776000.0,2222544000.0
Net Long Term Debt Issuance,637952000.0,-7485000.0,3240776000.0,2222544000.0
Long Term Debt Payments,-103221000.0,-502460000.0,-280768000.0,0.0
Long Term Debt Issuance,741173000.0,494975000.0,3521544000.0,2222544000.0
Investing Cash Flow,-61409000.0,-229651000.0,-235497000.0,-64316000.0
Net Business Purchase And Sale,0.0,-5420000.0,0.0,0.0
Purchase Of Business,0.0,-5420000.0,0.0,0.0
Net PPE Purchase And Sale,-61409000.0,-224231000.0,-235497000.0,-64316000.0
Purchase Of PPE,-61409000.0,-224231000.0,-235497000.0,-64316000.0
Operating Cash Flow,3481662000.0,4056906000.0,6336253000.0,3985988000.0
Change In Working Capital,-1539128000.0,-617751000.0,-1085148000.0,-2340830000.0
Change In Other Current Liabilities,0.0,0.0,0.0,0.0
Change In Other Current Assets,-74055000.0,-160888000.0,4938000.0,-4792000.0
Change In Accrued Expense,-1211545000.0,-1071559000.0,-2197446000.0,-1692562000.0
Change In Payable,211511000.0,45450000.0,275238000.0,192885000.0
Change In Receivables,-465039000.0,569246000.0,832122000.0,-836361000.0
Other Non Cash Items,2294155000.0,2317351000.0,3871633000.0,-1956125000.0
Depreciation And Amortization,35965000.0,40075000.0,67097000.0,74871000.0
Amortization Cash Flow,35965000.0,40075000.0,67097000.0,74871000.0
Depreciation,0.0,0.0,0.0,0.0
Gain Loss On Investment Securities,-2747139000.0,-127022000.0,493762000.0,-4166923000.0
Net Income From Continuing Operations,5437809000.0,2444253000.0,2988909000.0,12374995000.0
