,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,279000000.0,2753000000.0,1046000000.0,1522000000.0,
Repurchase Of Capital Stock,0.0,0.0,-374000000.0,-1402000000.0,
Repayment Of Debt,-1568000000.0,-1136000000.0,-1550000000.0,-73000000.0,
Issuance Of Debt,2720000000.0,861000000.0,2103000000.0,79000000.0,
Issuance Of Capital Stock,,,,56000000.0,88000000.0
Capital Expenditure,-1208000000.0,-1213000000.0,-916000000.0,-734000000.0,
End Cash Position,1671000000.0,2179000000.0,2101000000.0,2592000000.0,
Beginning Cash Position,2179000000.0,2101000000.0,2592000000.0,3401000000.0,
Effect Of Exchange Rate Changes,-40000000.0,-68000000.0,50000000.0,35000000.0,
Changes In Cash,-468000000.0,146000000.0,-541000000.0,-844000000.0,
Financing Cash Flow,-173000000.0,-2177000000.0,1669000000.0,-2227000000.0,
Cash Flow From Continuing Financing Activities,-173000000.0,-2177000000.0,1669000000.0,-2227000000.0,
Net Other Financing Charges,-119000000.0,-202000000.0,84000000.0,-12000000.0,
Cash Dividends Paid,-969000000.0,-921000000.0,-855000000.0,-809000000.0,
Common Stock Dividend Paid,-969000000.0,-921000000.0,-855000000.0,-809000000.0,
Net Common Stock Issuance,0.0,0.0,-374000000.0,-1402000000.0,
Common Stock Payments,0.0,0.0,-374000000.0,-1402000000.0,
Common Stock Issuance,,,,56000000.0,88000000.0
Net Issuance Payments Of Debt,915000000.0,-1054000000.0,2814000000.0,-4000000.0,
Net Short Term Debt Issuance,-237000000.0,-779000000.0,2261000000.0,-10000000.0,
Short Term Debt Payments,,,,,-337000000.0
Short Term Debt Issuance,,,,,10000000.0
Net Long Term Debt Issuance,1152000000.0,-275000000.0,553000000.0,6000000.0,
Long Term Debt Payments,-1568000000.0,-1136000000.0,-1550000000.0,-73000000.0,
Long Term Debt Issuance,2720000000.0,861000000.0,2103000000.0,79000000.0,
Investing Cash Flow,-1782000000.0,-1643000000.0,-4172000000.0,-873000000.0,
Cash Flow From Continuing Investing Activities,-1782000000.0,-1643000000.0,-4172000000.0,-873000000.0,
Net Other Investing Changes,-88000000.0,-77000000.0,-89000000.0,-6000000.0,
Net Investment Purchase And Sale,-40000000.0,-75000000.0,78000000.0,-133000000.0,
Sale Of Investment,1460000000.0,1334000000.0,1151000000.0,673000000.0,
Purchase Of Investment,-1500000000.0,-1409000000.0,-1073000000.0,-806000000.0,
Net Business Purchase And Sale,-446000000.0,-278000000.0,-3245000000.0,0.0,
Sale Of Business,,14000000.0,,,
Purchase Of Business,-446000000.0,-292000000.0,-3245000000.0,0.0,
Net Intangibles Purchase And Sale,,,,-52000000.0,-47000000.0
Purchase Of Intangibles,,,,-52000000.0,-47000000.0
Net PPE Purchase And Sale,,,,20000000.0,0.0
Sale Of PPE,,,,20000000.0,0.0
Capital Expenditure Reported,-1208000000.0,-1213000000.0,-916000000.0,-734000000.0,
Operating Cash Flow,1487000000.0,3966000000.0,1962000000.0,2256000000.0,
Cash Flow From Continuing Operating Activities,1487000000.0,3966000000.0,1962000000.0,2256000000.0,
Change In Working Capital,-2165000000.0,2418000000.0,-1005000000.0,-359000000.0,
Change In Other Working Capital,,,,,189000000.0
Change In Other Current Liabilities,,,-1000000.0,-6000000.0,189000000.0
Change In Other Current Assets,-305000000.0,-120000000.0,-109000000.0,2000000.0,
Change In Payables And Accrued Expense,-1756000000.0,2868000000.0,368000000.0,758000000.0,
Change In Accrued Expense,-1573000000.0,2934000000.0,-170000000.0,541000000.0,
Change In Payable,-183000000.0,-66000000.0,538000000.0,217000000.0,
Change In Account Payable,-183000000.0,-66000000.0,538000000.0,217000000.0,
Change In Inventory,-402000000.0,0.0,-567000000.0,-945000000.0,
Change In Receivables,298000000.0,-330000000.0,-697000000.0,-174000000.0,
Other Non Cash Items,10000000.0,214000000.0,186000000.0,-218000000.0,
Stock Based Compensation,,,,37000000.0,31000000.0
Deferred Tax,-209000000.0,-457000000.0,-274000000.0,7000000.0,
Deferred Income Tax,-209000000.0,-457000000.0,-274000000.0,7000000.0,
Depreciation Amortization Depletion,1065000000.0,1024000000.0,784000000.0,662000000.0,
Depreciation And Amortization,1065000000.0,1024000000.0,784000000.0,662000000.0,
Operating Gains Losses,-1282000000.0,-73000000.0,88000000.0,37000000.0,
Pension And Employee Benefit Expense,38000000.0,8000000.0,24000000.0,83000000.0,
Earnings Losses From Equity Investments,13000000.0,-81000000.0,64000000.0,-83000000.0,
Gain Loss On Investment Securities,,,,,-57000000.0
Net Foreign Currency Exchange Gain Loss,,,-27000000.0,37000000.0,2000000.0
Gain Loss On Sale Of Business,-1333000000.0,0.0,0.0,,
Net Income From Continuing Operations,4068000000.0,840000000.0,2183000000.0,2164000000.0,
