,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,2026189000.0,2027820000.0,2584908000.0,2764457000.0,
Repurchase Of Capital Stock,-2076529000.0,-3151155000.0,-3282265000.0,-2476048000.0,
Repayment Of Debt,-577604000.0,-3527000000.0,-1085800000.0,-300000000.0,
Issuance Of Debt,528910000.0,4723444000.0,1633114000.0,0.0,
Issuance Of Capital Stock,128981000.0,91316000.0,79356000.0,84915000.0,
Capital Expenditure,-1023387000.0,-1006264000.0,-563342000.0,-442853000.0,
Interest Paid Supplemental Data,209094000.0,189611000.0,155853000.0,144293000.0,
Income Tax Paid Supplemental Data,640426000.0,315060000.0,415165000.0,450935000.0,
End Cash Position,130245000.0,279132000.0,108583000.0,362113000.0,
Beginning Cash Position,279132000.0,108583000.0,362113000.0,465640000.0,
Effect Of Exchange Rate Changes,-1941000.0,1139000.0,741000.0,-359000.0,
Changes In Cash,-146946000.0,169410000.0,-254271000.0,-103168000.0,
Financing Cash Flow,-2029717000.0,-1868738000.0,-2662536000.0,-2694858000.0,
Cash Flow From Continuing Financing Activities,-2029717000.0,-1868738000.0,-2662536000.0,-2694858000.0,
Net Other Financing Charges,-33475000.0,-5343000.0,-6941000.0,-3725000.0,
Net Common Stock Issuance,-1947548000.0,-3059839000.0,-3202909000.0,-2391133000.0,
Common Stock Payments,-2076529000.0,-3151155000.0,-3282265000.0,-2476048000.0,
Common Stock Issuance,128981000.0,91316000.0,79356000.0,84915000.0,
Net Issuance Payments Of Debt,-48694000.0,1196444000.0,547314000.0,-300000000.0,
Net Short Term Debt Issuance,,,0.0,0.0,-261000000.0
Short Term Debt Payments,,,-785800000.0,0.0,-1423000000.0
Short Term Debt Issuance,,,785800000.0,0.0,1162000000.0
Net Long Term Debt Issuance,-48694000.0,1196444000.0,547314000.0,-300000000.0,
Long Term Debt Payments,-577604000.0,-3527000000.0,-1085800000.0,-300000000.0,
Long Term Debt Issuance,528910000.0,4723444000.0,1633114000.0,0.0,
Investing Cash Flow,-1166805000.0,-995936000.0,-739985000.0,-615620000.0,
Cash Flow From Continuing Investing Activities,-1166805000.0,-995936000.0,-739985000.0,-615620000.0,
Net Other Investing Changes,-161258000.0,-3211000.0,-3164000.0,-1928000.0,
Net Investment Purchase And Sale,,,-188282000.0,-180333000.0,-164111000.0
Purchase Of Investment,,,-188282000.0,-180333000.0,-164111000.0
Net Business Purchase And Sale,1490000.0,-4150000.0,-188282000.0,-180333000.0,
Sale Of Business,1490000.0,,,,
Purchase Of Business,,-4150000.0,-188282000.0,-180333000.0,-164111000.0
Net PPE Purchase And Sale,-1007037000.0,-988575000.0,-548539000.0,-433359000.0,
Sale Of PPE,16350000.0,17689000.0,14803000.0,9494000.0,
Purchase Of PPE,-1023387000.0,-1006264000.0,-563342000.0,-442853000.0,
Operating Cash Flow,3049576000.0,3034084000.0,3148250000.0,3207310000.0,
Cash Flow From Continuing Operating Activities,3049576000.0,3034084000.0,3148250000.0,3207310000.0,
Change In Working Capital,209338000.0,195629000.0,516045000.0,662853000.0,
Change In Other Working Capital,200865000.0,267307000.0,-94271000.0,60950000.0,
Change In Payables And Accrued Expense,381864000.0,252184000.0,1355221000.0,681964000.0,
Change In Accrued Expense,-30810000.0,11234000.0,19300000.0,18714000.0,
Change In Payable,412674000.0,240950000.0,1335921000.0,663250000.0,
Change In Account Payable,421364000.0,207061000.0,1184858000.0,510911000.0,
Change In Tax Payable,-8690000.0,33889000.0,151063000.0,152339000.0,
Change In Income Tax Payable,-8690000.0,33889000.0,151063000.0,152339000.0,
Change In Inventory,-403886000.0,-288323000.0,-669046000.0,-32634000.0,
Change In Receivables,30495000.0,-35539000.0,-75859000.0,-47427000.0,
Changes In Account Receivables,30495000.0,-35539000.0,-75859000.0,-47427000.0,
Other Non Cash Items,12973000.0,7070000.0,5589000.0,6516000.0,
Stock Based Compensation,28931000.0,27511000.0,26458000.0,24656000.0,
Deferred Tax,-50238000.0,48232000.0,69575000.0,20383000.0,
Deferred Income Tax,-50238000.0,48232000.0,69575000.0,20383000.0,
Depreciation Amortization Depletion,461892000.0,409061000.0,357933000.0,328217000.0,
Depreciation And Amortization,461892000.0,409061000.0,357933000.0,328217000.0,
Net Income From Continuing Operations,2386680000.0,2346581000.0,2172650000.0,2164685000.0,
