,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,950000000.0,795000000.0,912000000.0,-135000000.0,
Repurchase Of Capital Stock,-107000000.0,-182000000.0,-27000000.0,0.0,
Repayment Of Debt,-1292000000.0,-7000000.0,-685000000.0,-1200000000.0,
Issuance Of Debt,2169000000.0,0.0,0.0,443000000.0,
Issuance Of Capital Stock,,1000000.0,1000000.0,138000000.0,0.0
Capital Expenditure,-548000000.0,-646000000.0,-504000000.0,-427000000.0,
End Cash Position,798000000.0,1363000000.0,874000000.0,953000000.0,
Beginning Cash Position,1363000000.0,874000000.0,953000000.0,2476000000.0,
Effect Of Exchange Rate Changes,-10000000.0,2000000.0,-3000000.0,0.0,
Changes In Cash,-555000000.0,487000000.0,-76000000.0,-1523000000.0,
Financing Cash Flow,-13000000.0,-771000000.0,-874000000.0,-657000000.0,
Cash Flow From Continuing Financing Activities,-13000000.0,-771000000.0,-874000000.0,-657000000.0,
Net Other Financing Charges,-46000000.0,-35000000.0,-12000000.0,-38000000.0,
Cash Dividends Paid,-737000000.0,-547000000.0,-150000000.0,0.0,
Common Stock Dividend Paid,-737000000.0,-547000000.0,-150000000.0,0.0,
Net Preferred Stock Issuance,,,0.0,0.0,-22000000.0
Preferred Stock Payments,,,0.0,0.0,-22000000.0
Net Common Stock Issuance,-107000000.0,-182000000.0,-27000000.0,138000000.0,
Common Stock Payments,-107000000.0,-182000000.0,-27000000.0,0.0,
Common Stock Issuance,,1000000.0,1000000.0,138000000.0,0.0
Net Issuance Payments Of Debt,877000000.0,-7000000.0,-685000000.0,-757000000.0,
Net Short Term Debt Issuance,,,,-800000000.0,1483000000.0
Short Term Debt Payments,,,,-800000000.0,-762000000.0
Short Term Debt Issuance,,,,0.0,2245000000.0
Net Long Term Debt Issuance,877000000.0,-7000000.0,-685000000.0,-757000000.0,
Long Term Debt Payments,-1292000000.0,-7000000.0,-685000000.0,-1200000000.0,
Long Term Debt Issuance,2169000000.0,0.0,0.0,443000000.0,
Investing Cash Flow,-2040000000.0,-183000000.0,-618000000.0,-1158000000.0,
Cash Flow From Continuing Investing Activities,-2040000000.0,-183000000.0,-618000000.0,-1158000000.0,
Net Other Investing Changes,11000000.0,458000000.0,187000000.0,727000000.0,
Net Business Purchase And Sale,-1503000000.0,5000000.0,-301000000.0,-1458000000.0,
Sale Of Business,1000000.0,5000000.0,0.0,0.0,
Purchase Of Business,-1504000000.0,0.0,-301000000.0,-1458000000.0,
Capital Expenditure Reported,-548000000.0,-646000000.0,-504000000.0,-427000000.0,
Operating Cash Flow,1498000000.0,1441000000.0,1416000000.0,292000000.0,
Cash Flow From Continuing Operating Activities,1498000000.0,1441000000.0,1416000000.0,292000000.0,
Dividend Received Cfo,18000000.0,31000000.0,30000000.0,21000000.0,
Change In Working Capital,106000000.0,-114000000.0,49000000.0,-101000000.0,
Change In Other Working Capital,69000000.0,-40000000.0,15000000.0,-151000000.0,
Change In Other Current Liabilities,46000000.0,-71000000.0,14000000.0,40000000.0,
Change In Other Current Assets,-9000000.0,-3000000.0,20000000.0,10000000.0,
Other Non Cash Items,-120000000.0,21000000.0,-13000000.0,-296000000.0,
Stock Based Compensation,24000000.0,30000000.0,26000000.0,18000000.0,
Deferred Tax,8000000.0,26000000.0,20000000.0,-93000000.0,
Deferred Income Tax,8000000.0,26000000.0,20000000.0,-93000000.0,
Depreciation Amortization Depletion,762000000.0,697000000.0,664000000.0,762000000.0,
Depreciation And Amortization,762000000.0,697000000.0,664000000.0,762000000.0,
Operating Gains Losses,-7000000.0,-2000000.0,-3000000.0,-8000000.0,
Earnings Losses From Equity Investments,-7000000.0,-6000000.0,-3000000.0,-31000000.0,
Net Foreign Currency Exchange Gain Loss,,,,,0.0
Net Income From Continuing Operations,707000000.0,752000000.0,643000000.0,-11000000.0,
