,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1070497000.0,956242000.0,900261000.0,795248000.0,
Repurchase Of Capital Stock,-190690000.0,-6524000.0,-67838000.0,-12841000.0,
Repayment Of Debt,-4338030000.0,-10710400000.0,-16057570000.0,-18211001000.0,
Issuance Of Debt,4491250000.0,11088483000.0,16382153000.0,17909987000.0,
Issuance Of Capital Stock,317000.0,278000.0,308100000.0,5036000.0,
Interest Paid Supplemental Data,249471000.0,188213000.0,162115000.0,173044000.0,
Income Tax Paid Supplemental Data,7862000.0,1923000.0,,4521000.0,
End Cash Position,184305000.0,169023000.0,126834000.0,219448000.0,
Beginning Cash Position,169023000.0,126834000.0,219448000.0,181685000.0,
Effect Of Exchange Rate Changes,,,0.0,0.0,-153000.0
Changes In Cash,15282000.0,42189000.0,-92614000.0,37763000.0,
Other Cash Adjustment Inside Changein Cash,,,,,-70253000.0
Financing Cash Flow,-941416000.0,-337299000.0,-116532000.0,-1288517000.0,
Cash Flow From Continuing Financing Activities,-941416000.0,-337299000.0,-116532000.0,-1288517000.0,
Net Other Financing Charges,-109480000.0,-52115000.0,-33330000.0,-329616000.0,
Cash Dividends Paid,-794783000.0,-657021000.0,-648047000.0,-650082000.0,
Common Stock Dividend Paid,-794783000.0,-657021000.0,-648047000.0,-650082000.0,
Net Common Stock Issuance,-190373000.0,-6246000.0,240262000.0,-7805000.0,
Common Stock Payments,-190690000.0,-6524000.0,-67838000.0,-12841000.0,
Common Stock Issuance,317000.0,278000.0,308100000.0,5036000.0,
Net Issuance Payments Of Debt,153220000.0,378083000.0,324583000.0,-301014000.0,
Net Short Term Debt Issuance,,-275606000.0,-170369000.0,1036385000.0,36590000.0
Short Term Debt Payments,,-10620311000.0,-16052522000.0,-15785065000.0,-4706010000.0
Short Term Debt Issuance,,10344705000.0,15882153000.0,16821450000.0,4742600000.0
Net Long Term Debt Issuance,153220000.0,378083000.0,324583000.0,-301014000.0,
Long Term Debt Payments,-4338030000.0,-10710400000.0,-16057570000.0,-18211001000.0,
Long Term Debt Issuance,4491250000.0,11088483000.0,16382153000.0,17909987000.0,
Investing Cash Flow,-113799000.0,-576754000.0,-876343000.0,531032000.0,
Cash Flow From Continuing Investing Activities,-113799000.0,-576754000.0,-876343000.0,531032000.0,
Net Other Investing Changes,-65817000.0,96399000.0,-1819000.0,213113000.0,
Dividends Received Cfi,22906000.0,20640000.0,12518000.0,37640000.0,
Net Investment Purchase And Sale,,,0.0,0.0,-394177000.0
Sale Of Investment,,,,,202763000.0
Purchase Of Investment,,,0.0,0.0,-394177000.0
Net Investment Properties Purchase And Sale,44267000.0,-605402000.0,-991884000.0,305539000.0,
Sale Of Investment Properties,648548000.0,141651000.0,47885000.0,2399120000.0,
Purchase Of Investment Properties,-604281000.0,-747053000.0,-1039769000.0,-2093581000.0,
Net Business Purchase And Sale,-115155000.0,-88391000.0,104842000.0,-25260000.0,
Sale Of Business,125662000.0,0.0,125985000.0,0.0,
Purchase Of Business,-240817000.0,-88391000.0,-21143000.0,-25260000.0,
Operating Cash Flow,1070497000.0,956242000.0,900261000.0,795248000.0,
Cash Flow From Continuing Operating Activities,1070497000.0,956242000.0,900261000.0,795248000.0,
Dividend Received Cfo,12000000.0,910000.0,943000.0,4976000.0,
Change In Working Capital,44775000.0,82945000.0,118860000.0,26394000.0,
Change In Payables And Accrued Expense,85635000.0,104511000.0,136293000.0,7768000.0,
Change In Payable,85635000.0,104511000.0,136293000.0,7768000.0,
Change In Account Payable,85635000.0,104511000.0,136293000.0,7768000.0,
Change In Receivables,-40860000.0,-21566000.0,-17433000.0,18626000.0,
Changes In Account Receivables,-40860000.0,-21566000.0,-17433000.0,18626000.0,
Other Non Cash Items,-109109000.0,-109644000.0,-127392000.0,-122880000.0,
Stock Based Compensation,31766000.0,14480000.0,26456000.0,18202000.0,
Asset Impairment Charge,22978000.0,-5601000.0,7004000.0,55896000.0,
Deferred Tax,-1693000.0,-14605000.0,-6001000.0,-5792000.0,
Deferred Income Tax,-1693000.0,-14605000.0,-6001000.0,-5792000.0,
Depreciation Amortization Depletion,1057205000.0,749901000.0,710569000.0,684286000.0,
Depreciation And Amortization,1057205000.0,749901000.0,710569000.0,684286000.0,
Operating Gains Losses,-254728000.0,-96901000.0,-346602000.0,-391764000.0,
Earnings Losses From Equity Investments,1515000.0,-10204000.0,-2049000.0,-11235000.0,
Gain Loss On Investment Securities,-178695000.0,-86463000.0,-33115000.0,-605311000.0,
Gain Loss On Sale Of Business,-77548000.0,-234000.0,-311438000.0,-1042000.0,
Net Income From Continuing Operations,267303000.0,334757000.0,516424000.0,525930000.0,
