,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,9848000000.0,8593000000.0,6694000000.0,7099000000.0
Repurchase Of Capital Stock,-1008000000.0,-1112000000.0,-3320000000.0,-2876000000.0
Repayment Of Debt,-2975000000.0,-1257000000.0,-5284000000.0,-4386000000.0
Issuance Of Debt,2439000000.0,3034000000.0,4955000000.0,3105000000.0
Issuance Of Capital Stock,488000000.0,0.0,0.0,0.0
Interest Paid Supplemental Data,4662000000.0,3551000000.0,1356000000.0,1034000000.0
Income Tax Paid Supplemental Data,1087000000.0,1125000000.0,1290000000.0,1112000000.0
End Cash Position,14755000000.0,14421000000.0,10430000000.0,8686000000.0
Beginning Cash Position,14421000000.0,10430000000.0,8686000000.0,11605000000.0
Changes In Cash,334000000.0,3991000000.0,1744000000.0,-2919000000.0
Financing Cash Flow,-611000000.0,9632000000.0,5284000000.0,-5204000000.0
Cash Flow From Continuing Financing Activities,-611000000.0,9632000000.0,5284000000.0,-5204000000.0
Net Other Financing Charges,36000000.0,-22000000.0,-44000000.0,29000000.0
Cash Dividends Paid,-470000000.0,-448000000.0,-476000000.0,-542000000.0
Preferred Stock Dividend Paid,-72000000.0,-42000000.0,-42000000.0,-42000000.0
Common Stock Dividend Paid,-398000000.0,-406000000.0,-434000000.0,-500000000.0
Net Preferred Stock Issuance,488000000.0,0.0,0.0,0.0
Preferred Stock Issuance,488000000.0,0.0,0.0,0.0
Net Common Stock Issuance,-1008000000.0,-1112000000.0,-3320000000.0,-2876000000.0
Common Stock Payments,-1008000000.0,-1112000000.0,-3320000000.0,-2876000000.0
Net Issuance Payments Of Debt,-536000000.0,1777000000.0,-329000000.0,-1281000000.0
Net Long Term Debt Issuance,-536000000.0,1777000000.0,-329000000.0,-1281000000.0
Long Term Debt Payments,-2975000000.0,-1257000000.0,-5284000000.0,-4386000000.0
Long Term Debt Issuance,2439000000.0,3034000000.0,4955000000.0,3105000000.0
Investing Cash Flow,-8903000000.0,-14234000000.0,-10234000000.0,-4814000000.0
Cash Flow From Continuing Investing Activities,-8903000000.0,-14234000000.0,-10234000000.0,-4814000000.0
Net Other Investing Changes,-688000000.0,-722000000.0,-549000000.0,-549000000.0
Net Investment Purchase And Sale,805000000.0,1388000000.0,118000000.0,2090000000.0
Sale Of Investment,3616000000.0,5011000000.0,3984000000.0,5080000000.0
Purchase Of Investment,-2811000000.0,-3623000000.0,-3866000000.0,-2990000000.0
Net Business Purchase And Sale,-1444000000.0,0.0,0.0,
Sale Of Business,491000000.0,0.0,0.0,
Purchase Of Business,-1935000000.0,0.0,0.0,
Operating Cash Flow,9848000000.0,8593000000.0,6694000000.0,7099000000.0
Cash Flow From Continuing Operating Activities,9848000000.0,8593000000.0,6694000000.0,7099000000.0
Change In Working Capital,-205000000.0,-345000000.0,-269000000.0,1021000000.0
Change In Other Current Assets,-117000000.0,7000000.0,21000000.0,37000000.0
Change In Payables And Accrued Expense,-121000000.0,293000000.0,-93000000.0,560000000.0
Change In Accrued Expense,-121000000.0,293000000.0,-93000000.0,560000000.0
Change In Receivables,33000000.0,-645000000.0,-197000000.0,424000000.0
Changes In Account Receivables,33000000.0,-645000000.0,-197000000.0,424000000.0
Other Non Cash Items,507000000.0,735000000.0,574000000.0,522000000.0
Deferred Tax,-98000000.0,-458000000.0,-421000000.0,219000000.0
Deferred Income Tax,-98000000.0,-458000000.0,-421000000.0,219000000.0
Depreciation Amortization Depletion,481000000.0,458000000.0,419000000.0,390000000.0
Depreciation And Amortization,481000000.0,458000000.0,419000000.0,390000000.0
Operating Gains Losses,-1069000000.0,,,
Gain Loss On Sale Of Business,-1069000000.0,0.0,0.0,
Net Income From Continuing Operations,3499000000.0,2238000000.0,3016000000.0,4221000000.0
