,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,1530000000.0,868000000.0,985000000.0,1171000000.0
Repurchase Of Capital Stock,-900000000.0,-850000000.0,-600000000.0,-125000000.0
Repayment Of Debt,0.0,-250000000.0,0.0,-1109000000.0
Issuance Of Debt,,0.0,0.0,2057000000.0
Capital Expenditure,-155000000.0,-239000000.0,-226000000.0,-162000000.0
Interest Paid Supplemental Data,59000000.0,65000000.0,67000000.0,57000000.0
Income Tax Paid Supplemental Data,357000000.0,386000000.0,398000000.0,338000000.0
End Cash Position,1909000000.0,2322000000.0,4119000000.0,4535000000.0
Beginning Cash Position,2322000000.0,4119000000.0,4535000000.0,2666000000.0
Effect Of Exchange Rate Changes,-19000000.0,-1000000.0,-49000000.0,71000000.0
Changes In Cash,-394000000.0,-1796000000.0,-367000000.0,1798000000.0
Financing Cash Flow,-1344000000.0,-1513000000.0,-1017000000.0,444000000.0
Cash Flow From Continuing Financing Activities,-1344000000.0,-1513000000.0,-1017000000.0,444000000.0
Net Other Financing Charges,-128000000.0,-89000000.0,-76000000.0,-50000000.0
Proceeds From Stock Option Exercised,100000000.0,108000000.0,105000000.0,98000000.0
Cash Dividends Paid,-416000000.0,-432000000.0,-446000000.0,-427000000.0
Common Stock Dividend Paid,-416000000.0,-432000000.0,-446000000.0,-427000000.0
Net Common Stock Issuance,-900000000.0,-850000000.0,-600000000.0,-125000000.0
Common Stock Payments,-900000000.0,-850000000.0,-600000000.0,-125000000.0
Net Issuance Payments Of Debt,0.0,-250000000.0,0.0,948000000.0
Net Short Term Debt Issuance,,0.0,0.0,-420000000.0
Short Term Debt Payments,,0.0,0.0,-420000000.0
Net Long Term Debt Issuance,0.0,-250000000.0,0.0,1368000000.0
Long Term Debt Payments,0.0,-250000000.0,0.0,-689000000.0
Long Term Debt Issuance,,0.0,0.0,2057000000.0
Investing Cash Flow,-735000000.0,-1390000000.0,-561000000.0,21000000.0
Cash Flow From Continuing Investing Activities,-735000000.0,-1390000000.0,-561000000.0,21000000.0
Net Other Investing Changes,,59000000.0,,2000000.0
Net Investment Purchase And Sale,-580000000.0,-719000000.0,45000000.0,160000000.0
Sale Of Investment,2055000000.0,550000000.0,63000000.0,165000000.0
Purchase Of Investment,-2635000000.0,-1269000000.0,-18000000.0,-5000000.0
Net Business Purchase And Sale,0.0,-491000000.0,-380000000.0,-350000000.0
Purchase Of Business,0.0,-491000000.0,-380000000.0,-350000000.0
Net PPE Purchase And Sale,-155000000.0,-239000000.0,-226000000.0,209000000.0
Sale Of PPE,,0.0,0.0,371000000.0
Purchase Of PPE,-155000000.0,-239000000.0,-226000000.0,-162000000.0
Operating Cash Flow,1685000000.0,1107000000.0,1211000000.0,1333000000.0
Cash Flow From Continuing Operating Activities,1685000000.0,1107000000.0,1211000000.0,1333000000.0
Change In Working Capital,2000000.0,-106000000.0,-22000000.0,285000000.0
Change In Other Working Capital,-14000000.0,46000000.0,384000000.0,193000000.0
Change In Other Current Liabilities,-1000000.0,0.0,-7000000.0,-7000000.0
Change In Other Current Assets,-62000000.0,-63000000.0,-21000000.0,-60000000.0
Change In Payables And Accrued Expense,130000000.0,-386000000.0,25000000.0,66000000.0
Change In Accrued Expense,113000000.0,-103000000.0,-111000000.0,134000000.0
Change In Payable,17000000.0,-283000000.0,136000000.0,-68000000.0
Change In Account Payable,123000000.0,-207000000.0,181000000.0,-11000000.0
Change In Tax Payable,-106000000.0,-76000000.0,-45000000.0,-57000000.0
Change In Income Tax Payable,-106000000.0,-76000000.0,-45000000.0,-57000000.0
Change In Inventory,-18000000.0,37000000.0,-90000000.0,31000000.0
Change In Receivables,-33000000.0,260000000.0,-313000000.0,62000000.0
Changes In Account Receivables,-33000000.0,260000000.0,-313000000.0,62000000.0
Other Non Cash Items,32000000.0,-15000000.0,1000000.0,76000000.0
Stock Based Compensation,357000000.0,312000000.0,245000000.0,197000000.0
Deferred Tax,53000000.0,-606000000.0,-144000000.0,-6000000.0
Deferred Income Tax,53000000.0,-606000000.0,-144000000.0,-6000000.0
Depreciation Amortization Depletion,255000000.0,248000000.0,194000000.0,207000000.0
Depreciation And Amortization,255000000.0,248000000.0,194000000.0,207000000.0
Operating Gains Losses,,,,-156000000.0
Net Income From Continuing Operations,986000000.0,1274000000.0,937000000.0,730000000.0
