,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-14136000000.0,-126000000.0,11220000000.0,-7521000000.0,
Repurchase Of Capital Stock,-2902000000.0,-3876000000.0,-1623000000.0,-1439000000.0,
Repayment Of Debt,-2046000000.0,-2545000000.0,-1567000000.0,-5302000000.0,
Issuance Of Debt,12703000000.0,7784000000.0,5700000000.0,1343000000.0,
Issuance Of Capital Stock,2323000000.0,0.0,0.0,1900000000.0,
Capital Expenditure,-926000000.0,-816000000.0,-734000000.0,-811000000.0,
Interest Paid Supplemental Data,8951000000.0,6184000000.0,1354000000.0,37000000.0,
Income Tax Paid Supplemental Data,451000000.0,423000000.0,436000000.0,559000000.0,
End Cash Position,3145000000.0,4047000000.0,3970000000.0,3631000000.0,
Beginning Cash Position,4047000000.0,3970000000.0,3631000000.0,3467000000.0,
Changes In Cash,-902000000.0,77000000.0,339000000.0,164000000.0,
Financing Cash Flow,51791000000.0,-13351000000.0,-18431000000.0,9046000000.0,
Cash Flow From Continuing Financing Activities,51791000000.0,-13351000000.0,-18431000000.0,9046000000.0,
Net Other Financing Charges,-20000000.0,57000000.0,,,
Cash Dividends Paid,-1033000000.0,-970000000.0,-972000000.0,-866000000.0,
Common Stock Dividend Paid,,,,,-889000000.0
Net Preferred Stock Issuance,823000000.0,0.0,0.0,-500000000.0,
Preferred Stock Payments,-1500000000.0,0.0,0.0,-500000000.0,
Preferred Stock Issuance,2323000000.0,0.0,0.0,,0.0
Net Common Stock Issuance,-1402000000.0,-3876000000.0,-1623000000.0,961000000.0,
Common Stock Payments,-1402000000.0,-3876000000.0,-1623000000.0,-939000000.0,
Common Stock Issuance,,0.0,0.0,1900000000.0,0.0
Net Issuance Payments Of Debt,10657000000.0,5239000000.0,4133000000.0,-3959000000.0,
Net Short Term Debt Issuance,6180000000.0,1563000000.0,1969000000.0,-3859000000.0,
Short Term Debt Payments,,0.0,0.0,-3859000000.0,-154000000.0
Short Term Debt Issuance,6180000000.0,1563000000.0,1969000000.0,,3302000000.0
Net Long Term Debt Issuance,4477000000.0,3676000000.0,2164000000.0,-100000000.0,
Long Term Debt Payments,-2046000000.0,-2545000000.0,-1567000000.0,-1443000000.0,
Long Term Debt Issuance,6523000000.0,6221000000.0,3731000000.0,1343000000.0,
Investing Cash Flow,-39483000000.0,12738000000.0,6816000000.0,-2172000000.0,
Cash Flow From Continuing Investing Activities,-39483000000.0,12738000000.0,6816000000.0,-2172000000.0,
Net Other Investing Changes,-332000000.0,117000000.0,51000000.0,241000000.0,
Net Investment Purchase And Sale,-5629000000.0,5287000000.0,4818000000.0,-7358000000.0,
Sale Of Investment,38820000000.0,30094000000.0,31661000000.0,55191000000.0,
Purchase Of Investment,-44449000000.0,-24807000000.0,-26843000000.0,-62549000000.0,
Net Business Purchase And Sale,-194000000.0,-61000000.0,0.0,-333000000.0,
Sale Of Business,,0.0,0.0,13000000.0,0.0
Purchase Of Business,-194000000.0,-61000000.0,0.0,-346000000.0,
Net PPE Purchase And Sale,-926000000.0,-816000000.0,-734000000.0,-811000000.0,
Purchase Of PPE,-926000000.0,-816000000.0,-734000000.0,-811000000.0,
Operating Cash Flow,-13210000000.0,690000000.0,11954000000.0,-6710000000.0,
Cash Flow From Continuing Operating Activities,-13210000000.0,690000000.0,11954000000.0,-6710000000.0,
Change In Working Capital,-17104000000.0,-2549000000.0,7626000000.0,-11109000000.0,
Change In Other Working Capital,-19295000000.0,-223000000.0,6804000000.0,-11053000000.0,
Change In Other Current Liabilities,,-128000000.0,557000000.0,-574000000.0,-170000000.0
Change In Other Current Assets,1672000000.0,-1839000000.0,421000000.0,691000000.0,
Change In Payables And Accrued Expense,743000000.0,-128000000.0,557000000.0,-574000000.0,
Change In Accrued Expense,743000000.0,-128000000.0,557000000.0,-574000000.0,
Change In Receivables,-224000000.0,-359000000.0,-156000000.0,-173000000.0,
Changes In Account Receivables,-224000000.0,-359000000.0,-156000000.0,-173000000.0,
Other Non Cash Items,303000000.0,257000000.0,438000000.0,401000000.0,
Deferred Tax,145000000.0,-184000000.0,-62000000.0,-162000000.0,
Deferred Income Tax,145000000.0,-184000000.0,-62000000.0,-162000000.0,
Depreciation Amortization Depletion,605000000.0,882000000.0,1156000000.0,1557000000.0,
Depreciation And Amortization,605000000.0,882000000.0,1156000000.0,1557000000.0,
Amortization Cash Flow,230000000.0,239000000.0,238000000.0,245000000.0,
Amortization Of Intangibles,230000000.0,239000000.0,238000000.0,245000000.0,
Depreciation,375000000.0,643000000.0,918000000.0,1312000000.0,
Operating Gains Losses,79000000.0,294000000.0,2000000.0,-57000000.0,
Gain Loss On Investment Securities,79000000.0,294000000.0,2000000.0,-57000000.0,
Net Income From Continuing Operations,2687000000.0,1944000000.0,2774000000.0,2693000000.0,
