,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Free Cash Flow,642900000.0,717000000.0,718800000.0,1258300000.0
Repurchase Of Capital Stock,-372800000.0,-367500000.0,-270400000.0,-678400000.0
Repayment Of Debt,-1791000000.0,0.0,-1157000000.0,-866400000.0
Issuance Of Debt,4285000000.0,0.0,797600000.0,0.0
Capital Expenditure,-586500000.0,-477400000.0,-417500000.0,-306700000.0
End Cash Position,62000000.0,655800000.0,169900000.0,334300000.0
Beginning Cash Position,655800000.0,169900000.0,334300000.0,391100000.0
Effect Of Exchange Rate Changes,-200000.0,-100000.0,-700000.0,11000000.0
Changes In Cash,-593600000.0,486000000.0,-163700000.0,-67800000.0
Financing Cash Flow,2141600000.0,-964600000.0,-944500000.0,-1943900000.0
Cash Flow From Continuing Financing Activities,2141600000.0,-964600000.0,-944500000.0,-1943900000.0
Net Other Financing Charges,-123500000.0,-2600000.0,-10500000.0,-400000.0
Proceeds From Stock Option Exercised,3200000.0,21600000.0,16300000.0,4500000.0
Cash Dividends Paid,-437500000.0,-430200000.0,-418100000.0,-403200000.0
Common Stock Dividend Paid,-437500000.0,-430200000.0,-418100000.0,-403200000.0
Net Common Stock Issuance,-372800000.0,-367500000.0,-270400000.0,-678400000.0
Common Stock Payments,-372800000.0,-367500000.0,-270400000.0,-678400000.0
Net Issuance Payments Of Debt,3072200000.0,-185900000.0,-261800000.0,-866400000.0
Net Short Term Debt Issuance,578200000.0,-185900000.0,97600000.0,-166400000.0
Short Term Debt Payments,,-185900000.0,,-166400000.0
Short Term Debt Issuance,,,97600000.0,
Net Long Term Debt Issuance,2494000000.0,0.0,-359400000.0,-700000000.0
Long Term Debt Payments,-1791000000.0,0.0,-1157000000.0,-700000000.0
Long Term Debt Issuance,4285000000.0,0.0,797600000.0,0.0
Investing Cash Flow,-3964600000.0,256200000.0,-355500000.0,311100000.0
Cash Flow From Continuing Investing Activities,-3964600000.0,256200000.0,-355500000.0,311100000.0
Net Other Investing Changes,19900000.0,47300000.0,-68000000.0,53800000.0
Net Investment Purchase And Sale,466300000.0,0.0,0.0,
Sale Of Investment,466300000.0,0.0,0.0,
Net Business Purchase And Sale,-3864300000.0,686300000.0,130000000.0,564000000.0
Sale Of Business,56300000.0,686300000.0,130000000.0,564000000.0
Purchase Of Business,-3920600000.0,0.0,0.0,0.0
Net PPE Purchase And Sale,-586500000.0,-477400000.0,-417500000.0,-306700000.0
Purchase Of PPE,-586500000.0,-477400000.0,-417500000.0,-306700000.0
Operating Cash Flow,1229400000.0,1194400000.0,1136300000.0,1565000000.0
Cash Flow From Continuing Operating Activities,1229400000.0,1194400000.0,1136300000.0,1565000000.0
Change In Working Capital,-8300000.0,38900000.0,-94700000.0,176900000.0
Change In Other Working Capital,-34900000.0,9500000.0,12800000.0,-17600000.0
Change In Other Current Assets,-35500000.0,86800000.0,-52800000.0,-34000000.0
Change In Payables And Accrued Expense,17700000.0,152000000.0,116500000.0,316900000.0
Change In Accrued Expense,99400000.0,400000.0,-33000000.0,56000000.0
Change In Payable,-81700000.0,151600000.0,149500000.0,260900000.0
Change In Account Payable,-81700000.0,151600000.0,149500000.0,260900000.0
Change In Inventory,2900000.0,-134600000.0,-178700000.0,-110400000.0
Change In Receivables,41500000.0,-74800000.0,7500000.0,22000000.0
Changes In Account Receivables,41500000.0,-74800000.0,7500000.0,22000000.0
Other Non Cash Items,34100000.0,-50000000.0,-300000.0,23400000.0
Stock Based Compensation,23900000.0,25600000.0,22300000.0,28700000.0
Asset Impairment Charge,0.0,0.0,150400000.0,3800000.0
Deferred Tax,-40500000.0,-190800000.0,-38100000.0,-13900000.0
Deferred Income Tax,-40500000.0,-190800000.0,-38100000.0,-13900000.0
Depreciation Amortization Depletion,430800000.0,431000000.0,459100000.0,452500000.0
Depreciation And Amortization,430800000.0,431000000.0,459100000.0,452500000.0
Amortization Cash Flow,191100000.0,206900000.0,223600000.0,233000000.0
Amortization Of Intangibles,191100000.0,206900000.0,223600000.0,233000000.0
Depreciation,239700000.0,224100000.0,235500000.0,219500000.0
Operating Gains Losses,45400000.0,1031000000.0,5900000.0,17300000.0
Pension And Employee Benefit Expense,3200000.0,7400000.0,10800000.0,35500000.0
Gain Loss On Investment Securities,21500000.0,,,
Gain Loss On Sale Of Business,12900000.0,1018500000.0,-9600000.0,-25300000.0
Net Income From Continuing Operations,744000000.0,-91300000.0,631700000.0,876300000.0
