,2025-01-31,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.243,0.254,0.248,0.224,
Normalized EBITDA,1659986000.0,1476783000.0,1712575000.0,1649203000.0,
Net Income From Continuing Operation Net Minority Interest,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Reconciled Depreciation,229802000.0,232590000.0,214153000.0,196087000.0,
Reconciled Cost Of Revenue,4129242000.0,4447051000.0,4996684000.0,4613973000.0,
EBITDA,1659986000.0,1476783000.0,1712575000.0,1649203000.0,
EBIT,1430184000.0,1244193000.0,1498422000.0,1453116000.0,
Net Interest Income,55548000.0,29162000.0,2260000.0,-1865000.0,
Interest Expense,,,,1865000.0,16231000.0
Interest Income,55548000.0,29162000.0,2260000.0,,
Normalized Income,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Net Income From Continuing And Discontinued Operation,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Total Expenses,6281357000.0,6506459000.0,7175995000.0,6792820000.0,
Total Operating Income As Reported,1430184000.0,1244193000.0,1498422000.0,1453116000.0,
Diluted Average Shares,128041000.0,130544000.0,138200000.0,152708000.0,
Basic Average Shares,126242000.0,129148000.0,136042000.0,148544000.0,
Diluted EPS,8.79,7.275,8.16,7.375,
Basic EPS,8.91,7.355,8.29,7.585,
Diluted NI Availto Com Stockholders,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Net Income Common Stockholders,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Net Income,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Net Income Including Noncontrolling Interests,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Net Income Continuous Operations,1125251000.0,949762000.0,1127904000.0,1126337000.0,
Tax Provision,360481000.0,323593000.0,372778000.0,324914000.0,
Pretax Income,1485732000.0,1273355000.0,1500682000.0,1451251000.0,
Net Non Operating Interest Income Expense,55548000.0,29162000.0,2260000.0,-1865000.0,
Total Other Finance Cost,,-29162000.0,-2260000.0,1865000.0,16231000.0
Interest Expense Non Operating,,,,1865000.0,16231000.0
Interest Income Non Operating,55548000.0,29162000.0,2260000.0,,
Operating Income,1430184000.0,1244193000.0,1498422000.0,1453116000.0,
Operating Expense,2152115000.0,2059408000.0,2179311000.0,2178847000.0,
Selling General And Administration,2152115000.0,2059408000.0,2179311000.0,2178847000.0,
Gross Profit,3582299000.0,3303601000.0,3677733000.0,3631963000.0,
Cost Of Revenue,4129242000.0,4447051000.0,4996684000.0,4613973000.0,
Total Revenue,7711541000.0,7750652000.0,8674417000.0,8245936000.0,
Operating Revenue,7711541000.0,7750652000.0,8674417000.0,8245936000.0,
