,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.355,0.276,0.283,0.275
Normalized EBITDA,44725000000.0,45042000000.0,65485000000.0,39364000000.0
Net Income From Continuing Operation Net Minority Interest,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Reconciled Depreciation,16625000000.0,14989000000.0,15295000000.0,17013000000.0
Reconciled Cost Of Revenue,136488000000.0,136522000000.0,161735000000.0,110174000000.0
EBITDA,44725000000.0,45042000000.0,65485000000.0,39364000000.0
EBIT,28100000000.0,30053000000.0,50190000000.0,22351000000.0
Net Interest Income,-594000000.0,-469000000.0,-516000000.0,-712000000.0
Interest Expense,594000000.0,469000000.0,516000000.0,712000000.0
Normalized Income,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Net Income From Continuing And Discontinued Operation,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Total Expenses,174497000000.0,170684000000.0,195767000000.0,139426000000.0
Diluted Average Shares,1817000000.0,1880307000.0,1940277000.0,1920275000.0
Basic Average Shares,1810000000.0,1872737000.0,1931486000.0,1915989000.0
Diluted EPS,9.72,11.36,18.28,8.14
Basic EPS,9.76,11.41,18.36,8.15
Diluted NI Availto Com Stockholders,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Net Income Common Stockholders,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Net Income,17661000000.0,21369000000.0,35465000000.0,15625000000.0
Minority Interests,-88000000.0,-42000000.0,-143000000.0,-64000000.0
Net Income Including Noncontrolling Interests,17749000000.0,21411000000.0,35608000000.0,15689000000.0
Net Income Continuous Operations,17749000000.0,21411000000.0,35608000000.0,15689000000.0
Tax Provision,9757000000.0,8173000000.0,14066000000.0,5950000000.0
Pretax Income,27506000000.0,29584000000.0,49674000000.0,21639000000.0
Other Income Expense,9183000000.0,3824000000.0,10240000000.0,6171000000.0
Other Non Operating Income Expenses,4587000000.0,-1307000000.0,1655000000.0,514000000.0
Earnings From Equity Interest,4596000000.0,5131000000.0,8585000000.0,5657000000.0
Net Non Operating Interest Income Expense,-594000000.0,-469000000.0,-516000000.0,-712000000.0
Interest Expense Non Operating,594000000.0,469000000.0,516000000.0,712000000.0
Operating Income,18917000000.0,26229000000.0,39950000000.0,16180000000.0
Operating Expense,38009000000.0,34162000000.0,34032000000.0,29252000000.0
Other Operating Expenses,28459000000.0,25801000000.0,25688000000.0,21275000000.0
Other Taxes,4716000000.0,4220000000.0,4032000000.0,3963000000.0
Selling General And Administration,4834000000.0,4141000000.0,4312000000.0,4014000000.0
Gross Profit,56926000000.0,60391000000.0,73982000000.0,45432000000.0
Cost Of Revenue,136488000000.0,136522000000.0,161735000000.0,110174000000.0
Total Revenue,193414000000.0,196913000000.0,235717000000.0,155606000000.0
Operating Revenue,193414000000.0,196913000000.0,235717000000.0,155606000000.0
