,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.142,0.145,0.141916,0.164,
Normalized EBITDA,8815000000.0,10444000000.0,8707000000.0,9483000000.0,
Net Income From Continuing Operation Net Minority Interest,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Reconciled Depreciation,1559000000.0,1430000000.0,1404000000.0,1364000000.0,
Reconciled Cost Of Revenue,64113000000.0,59092000000.0,57697000000.0,57983000000.0,
EBITDA,8815000000.0,10444000000.0,8707000000.0,9483000000.0,
EBIT,7256000000.0,9014000000.0,7303000000.0,8119000000.0,
Net Interest Income,-1036000000.0,-916000000.0,-623000000.0,-569000000.0,
Interest Expense,1036000000.0,916000000.0,623000000.0,569000000.0,
Normalized Income,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Net Income From Continuing And Discontinued Operation,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Total Expenses,64030000000.0,59064000000.0,57636000000.0,57921000000.0,
Total Operating Income As Reported,7013000000.0,8507000000.0,8348000000.0,9123000000.0,
Diluted Average Shares,239200000.0,251200000.0,264600000.0,277400000.0,
Basic Average Shares,238300000.0,250300000.0,263700000.0,276400000.0,
Diluted EPS,22.31,27.55,21.66,22.76,
Basic EPS,22.39,27.65,21.74,22.85,
Diluted NI Availto Com Stockholders,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Net Income Common Stockholders,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Net Income,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Net Income Including Noncontrolling Interests,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Net Income Discontinuous Operations,,,0.0,0.0,-55000000.0
Net Income Continuous Operations,5336000000.0,6920000000.0,5732000000.0,6315000000.0,
Tax Provision,884000000.0,1178000000.0,948000000.0,1235000000.0,
Pretax Income,6220000000.0,8098000000.0,6680000000.0,7550000000.0,
Other Income Expense,243000000.0,507000000.0,-1045000000.0,-1004000000.0,
Other Non Operating Income Expenses,243000000.0,507000000.0,-1045000000.0,-1004000000.0,
Net Non Operating Interest Income Expense,-1036000000.0,-916000000.0,-623000000.0,-569000000.0,
Interest Expense Non Operating,1036000000.0,916000000.0,623000000.0,569000000.0,
Operating Income,7013000000.0,8507000000.0,8348000000.0,9123000000.0,
Operating Expense,-83000000.0,-28000000.0,-61000000.0,-62000000.0,
Other Operating Expenses,-83000000.0,-28000000.0,-61000000.0,-62000000.0,
Gross Profit,6930000000.0,8479000000.0,8287000000.0,9061000000.0,
Cost Of Revenue,64113000000.0,59092000000.0,57697000000.0,57983000000.0,
Total Revenue,71043000000.0,67571000000.0,65984000000.0,67044000000.0,
Operating Revenue,71043000000.0,67571000000.0,65984000000.0,67044000000.0,
