,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.224,0.224,0.199577,0.23716
Normalized EBITDA,1038671000.0,716869000.0,609599000.0,548072000.0
Net Income From Continuing Operation Net Minority Interest,759563000.0,516822000.0,451949000.0,382575000.0
Reconciled Depreciation,57166000.0,47345000.0,42878000.0,40530000.0
Reconciled Cost Of Revenue,1902275000.0,1801916000.0,1542788000.0,1171551000.0
EBITDA,1038671000.0,716869000.0,609599000.0,548072000.0
EBIT,981505000.0,669524000.0,566721000.0,507542000.0
Net Interest Income,49644000.0,12121000.0,-182000.0,-3391000.0
Interest Expense,2564000.0,3442000.0,2083000.0,6028000.0
Interest Income,52208000.0,15563000.0,1901000.0,2637000.0
Normalized Income,759563000.0,516822000.0,451949000.0,382575000.0
Net Income From Continuing And Discontinued Operation,759563000.0,516822000.0,451949000.0,382575000.0
Total Expenses,3360249000.0,2974535000.0,2585632000.0,2041436000.0
Total Operating Income As Reported,927514000.0,652751000.0,564707000.0,504205000.0
Diluted Average Shares,156288000.0,160116000.0,166734000.0,170436000.0
Basic Average Shares,155226000.0,159024000.0,165048000.0,168330000.0
Diluted EPS,4.86,3.228333,2.71,2.245
Basic EPS,4.893333,3.25,2.738333,2.273333
Diluted NI Availto Com Stockholders,759563000.0,516822000.0,451949000.0,382575000.0
Net Income Common Stockholders,759563000.0,516822000.0,451949000.0,382575000.0
Net Income,759563000.0,516822000.0,451949000.0,382575000.0
Net Income Including Noncontrolling Interests,759563000.0,516822000.0,451949000.0,382575000.0
Net Income Continuous Operations,759563000.0,516822000.0,451949000.0,382575000.0
Tax Provision,219378000.0,149260000.0,112689000.0,118939000.0
Pretax Income,978941000.0,666082000.0,564638000.0,501514000.0
Other Income Expense,1783000.0,1210000.0,113000.0,700000.0
Other Non Operating Income Expenses,1783000.0,1210000.0,113000.0,700000.0
Net Non Operating Interest Income Expense,49644000.0,12121000.0,-182000.0,-3391000.0
Interest Expense Non Operating,2564000.0,3442000.0,2083000.0,6028000.0
Interest Income Non Operating,52208000.0,15563000.0,1901000.0,2637000.0
Operating Income,927514000.0,652751000.0,564707000.0,504205000.0
Operating Expense,1457974000.0,1172619000.0,1042844000.0,869885000.0
Selling General And Administration,1457974000.0,1172619000.0,1042844000.0,869885000.0
Gross Profit,2385488000.0,1825370000.0,1607551000.0,1374090000.0
Cost Of Revenue,1902275000.0,1801916000.0,1542788000.0,1171551000.0
Total Revenue,4287763000.0,3627286000.0,3150339000.0,2545641000.0
Operating Revenue,4287763000.0,3627286000.0,3150339000.0,2545641000.0
