,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.15,0.09,0.2,0.15,
Net Income From Continuing Operation Net Minority Interest,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Reconciled Depreciation,256200000.0,272700000.0,295900000.0,275300000.0,
Normalized Income,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Net Income From Continuing And Discontinued Operation,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Total Expenses,14238100000.0,12927000000.0,11549100000.0,12516900000.0,
Diluted Average Shares,226225161.0,236438294.0,255300000.0,261700000.0,
Basic Average Shares,226225161.0,236438294.0,251100000.0,261700000.0,
Diluted EPS,6.68,2.55,18.63,5.79,
Basic EPS,6.77,2.58,18.94,5.87,
Diluted NI Availto Com Stockholders,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Net Income Common Stockholders,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Net Income,1571000000.0,623200000.0,4756900000.0,1580200000.0,
Minority Interests,-26900000.0,-46900000.0,-40600000.0,-46800000.0,
Net Income Including Noncontrolling Interests,1597900000.0,670100000.0,4797500000.0,1627000000.0,
Net Income Continuous Operations,1597900000.0,670100000.0,4797500000.0,1627000000.0,
Tax Provision,291700000.0,68700000.0,1189500000.0,283900000.0,
Pretax Income,1889600000.0,738800000.0,5987000000.0,1910900000.0,
Other Operating Expenses,5363900000.0,5072100000.0,4962200000.0,5070000000.0,
Selling General And Administration,,,,,4646500000.0
General And Administrative Expense,,,,,4646500000.0
Other Gand A,,,,,4646500000.0
Total Revenue,16127700000.0,13665800000.0,17536100000.0,14427800000.0,
Operating Revenue,16127700000.0,13665800000.0,17536100000.0,14427800000.0,
Loss Adjustment Expense,8774300000.0,7765700000.0,6492100000.0,7352100000.0,
Net Policyholder Benefits And Claims,8774300000.0,7765700000.0,6492100000.0,7352100000.0,
Policyholder Benefits Gross,10414500000.0,10131900000.0,8049400000.0,7925300000.0,
Policyholder Benefits Ceded,1640200000.0,2366200000.0,1557300000.0,573200000.0,
