,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-35680000.0,47742000.0,538135000.0,998817000.0
Tax Rate For Calcs,0.223,0.218,0.221,0.223
Normalized EBITDA,12077000000.0,12507000000.0,16282000000.0,15763000000.0
Total Unusual Items,-160000000.0,219000000.0,2435000000.0,4479000000.0
Total Unusual Items Excluding Goodwill,-160000000.0,219000000.0,2435000000.0,4479000000.0
Net Income From Continuing Operation Net Minority Interest,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Reconciled Depreciation,3609000000.0,3366000000.0,3188000000.0,2953000000.0
Reconciled Cost Of Revenue,74714000000.0,73720000000.0,79324000000.0,77007000000.0
EBITDA,11917000000.0,12726000000.0,18717000000.0,20242000000.0
EBIT,8308000000.0,9360000000.0,15529000000.0,17289000000.0
Net Interest Income,-866000000.0,-787000000.0,-704000000.0,-694000000.0
Interest Expense,866000000.0,787000000.0,704000000.0,694000000.0
Normalized Income,5906320000.0,6536742000.0,9651135000.0,9409817000.0
Net Income From Continuing And Discontinued Operation,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Total Expenses,82602000000.0,81817000000.0,87244000000.0,84477000000.0
Rent Expense Supplemental,2117000000.0,2019000000.0,1844000000.0,1719000000.0
Total Operating Income As Reported,8468000000.0,9141000000.0,13094000000.0,12810000000.0
Diluted Average Shares,856000000.0,860000000.0,875000000.0,878000000.0
Basic Average Shares,855000000.0,859000000.0,871000000.0,874000000.0
Diluted EPS,6.75,7.8,13.2,14.68
Basic EPS,6.76,7.81,13.26,14.75
Diluted NI Availto Com Stockholders,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Net Income Common Stockholders,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Net Income,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Net Income Including Noncontrolling Interests,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Net Income Continuous Operations,5782000000.0,6708000000.0,11548000000.0,12890000000.0
Tax Provision,1660000000.0,1865000000.0,3277000000.0,3705000000.0
Pretax Income,7442000000.0,8573000000.0,14825000000.0,16595000000.0
Other Income Expense,-160000000.0,219000000.0,2435000000.0,4479000000.0
Gain On Sale Of Security,-160000000.0,219000000.0,2435000000.0,4479000000.0
Net Non Operating Interest Income Expense,-866000000.0,-787000000.0,-704000000.0,-694000000.0
Interest Expense Non Operating,866000000.0,787000000.0,704000000.0,694000000.0
Operating Income,8468000000.0,9141000000.0,13094000000.0,12810000000.0
Operating Expense,7888000000.0,8097000000.0,7920000000.0,7470000000.0
Other Operating Expenses,7888000000.0,8097000000.0,7920000000.0,7470000000.0
Gross Profit,16356000000.0,17238000000.0,21014000000.0,20280000000.0
Cost Of Revenue,74714000000.0,73720000000.0,79324000000.0,77007000000.0
Total Revenue,91070000000.0,90958000000.0,100338000000.0,97287000000.0
Operating Revenue,91070000000.0,90958000000.0,100338000000.0,97287000000.0
