,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-4206400.0,-4530800.0,0.0,0.0
Tax Rate For Calcs,0.239,0.241,0.21,0.221
Normalized EBITDA,804100000.0,842600000.0,310000000.0,707800000.0
Total Unusual Items,-17600000.0,-18800000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-17600000.0,-18800000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,533600000.0,556600000.0,235700000.0,487100000.0
Reconciled Depreciation,78800000.0,78300000.0,76900000.0,77900000.0
Reconciled Cost Of Revenue,2362000000.0,2368000000.0,2424300000.0,2228000000.0
EBITDA,786500000.0,823800000.0,310000000.0,707800000.0
EBIT,707700000.0,745500000.0,233100000.0,629900000.0
Net Interest Income,-6700000.0,-12000000.0,-9400000.0,-4300000.0
Interest Expense,6700000.0,12000000.0,9400000.0,4300000.0
Normalized Income,546993600.0,570869200.0,235700000.0,487100000.0
Net Income From Continuing And Discontinued Operation,533600000.0,556600000.0,235700000.0,487100000.0
Total Expenses,3101300000.0,3095400000.0,3095200000.0,2929400000.0
Diluted Average Shares,147084080.0,151016000.0,155779000.0,161320000.0
Basic Average Shares,145997584.0,151016000.0,151179079.0,157652567.0
Diluted EPS,3.63,3.685702,1.51,3.02
Basic EPS,3.65,3.685702,1.559078,3.089705
Diluted NI Availto Com Stockholders,533600000.0,556600000.0,235700000.0,487100000.0
Net Income Common Stockholders,533600000.0,556600000.0,235700000.0,487100000.0
Net Income,533600000.0,556600000.0,235700000.0,487100000.0
Net Income Including Noncontrolling Interests,533600000.0,556600000.0,235700000.0,487100000.0
Net Income Continuous Operations,533600000.0,556600000.0,235700000.0,487100000.0
Tax Provision,167400000.0,176900000.0,-12000000.0,138500000.0
Pretax Income,701000000.0,733500000.0,223700000.0,625600000.0
Other Income Expense,-9100000.0,-11900000.0,-425600000.0,20400000.0
Other Non Operating Income Expenses,8500000.0,6900000.0,-425600000.0,20400000.0
Special Income Charges,-17600000.0,-18800000.0,0.0,0.0
Restructuring And Mergern Acquisition,17600000.0,18800000.0,0.0,0.0
Net Non Operating Interest Income Expense,-6700000.0,-12000000.0,-9400000.0,-4300000.0
Interest Expense Non Operating,6700000.0,12000000.0,9400000.0,4300000.0
Operating Income,716800000.0,757400000.0,658700000.0,609500000.0
Operating Expense,739300000.0,727400000.0,670900000.0,701400000.0
Selling General And Administration,739300000.0,727400000.0,670900000.0,701400000.0
Gross Profit,1456100000.0,1484800000.0,1329600000.0,1310900000.0
Cost Of Revenue,2362000000.0,2368000000.0,2424300000.0,2228000000.0
Total Revenue,3818100000.0,3852800000.0,3753900000.0,3538900000.0
Operating Revenue,3818100000.0,3852800000.0,3753900000.0,3538900000.0
