,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.184,0.248,0.199557,0.243113
Normalized EBITDA,2332000000.0,1762000000.0,1581000000.0,2124000000.0
Net Income From Continuing Operation Net Minority Interest,1343000000.0,775000000.0,729000000.0,1096000000.0
Reconciled Depreciation,367000000.0,419000000.0,478000000.0,467000000.0
Reconciled Cost Of Revenue,8204000000.0,8839000000.0,8842000000.0,7929000000.0
EBITDA,2332000000.0,1762000000.0,1581000000.0,2124000000.0
EBIT,1965000000.0,1343000000.0,1103000000.0,1657000000.0
Net Interest Income,-206000000.0,-202000000.0,-201000000.0,-205000000.0
Interest Expense,311000000.0,303000000.0,201000000.0,205000000.0
Interest Income,105000000.0,101000000.0,33000000.0,
Normalized Income,1343000000.0,775000000.0,729000000.0,1096000000.0
Net Income From Continuing And Discontinued Operation,1343000000.0,951000000.0,960000000.0,1488000000.0
Total Expenses,10876000000.0,11617000000.0,11442000000.0,10364000000.0
Total Operating Income As Reported,1873000000.0,1505000000.0,1211000000.0,1383000000.0
Diluted Average Shares,346134021.0,345000000.0,344000000.0,343000000.0
Basic Average Shares,342602041.0,342000000.0,341000000.0,341000000.0
Diluted EPS,3.88,2.76,2.79,4.33
Basic EPS,3.92,2.78,2.81,4.36
Diluted NI Availto Com Stockholders,1343000000.0,951000000.0,960000000.0,1488000000.0
Net Income Common Stockholders,1343000000.0,951000000.0,960000000.0,1488000000.0
Net Income,1343000000.0,951000000.0,960000000.0,1488000000.0
Minority Interests,-13000000.0,-13000000.0,-2000000.0,-7000000.0
Net Income Including Noncontrolling Interests,1356000000.0,964000000.0,962000000.0,1494000000.0
Net Income Discontinuous Operations,0.0,176000000.0,231000000.0,392000000.0
Net Income Continuous Operations,1356000000.0,788000000.0,731000000.0,1102000000.0
Earnings From Equity Interest Net Of Tax,6000000.0,6000000.0,9000000.0,3000000.0
Tax Provision,304000000.0,258000000.0,180000000.0,353000000.0
Pretax Income,1654000000.0,1040000000.0,902000000.0,1452000000.0
Other Income Expense,-13000000.0,-263000000.0,-108000000.0,274000000.0
Other Non Operating Income Expenses,-13000000.0,-263000000.0,-108000000.0,274000000.0
Net Non Operating Interest Income Expense,-206000000.0,-202000000.0,-201000000.0,-205000000.0
Interest Expense Non Operating,311000000.0,303000000.0,201000000.0,205000000.0
Interest Income Non Operating,105000000.0,101000000.0,33000000.0,
Operating Income,1873000000.0,1505000000.0,1211000000.0,1383000000.0
Operating Expense,2672000000.0,2778000000.0,2600000000.0,2435000000.0
Selling General And Administration,2672000000.0,2778000000.0,2600000000.0,2435000000.0
Gross Profit,4545000000.0,4283000000.0,3811000000.0,3818000000.0
Cost Of Revenue,8204000000.0,8839000000.0,8842000000.0,7929000000.0
Total Revenue,12749000000.0,13122000000.0,12653000000.0,11747000000.0
Operating Revenue,12749000000.0,13122000000.0,12653000000.0,11747000000.0
