,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.196,0.205,0.194,0.174164
Normalized EBITDA,766301000.0,613592000.0,1359558000.0,1173367000.0
Net Income From Continuing Operation Net Minority Interest,465690000.0,325129000.0,940524000.0,844245000.0
Reconciled Depreciation,97160000.0,98985000.0,92776000.0,91259000.0
Reconciled Cost Of Revenue,16416191000.0,16457570000.0,22826428000.0,21493659000.0
EBITDA,766301000.0,613592000.0,1359558000.0,1173367000.0
EBIT,669141000.0,514607000.0,1266782000.0,1082108000.0
Net Interest Income,-89937000.0,-105421000.0,-100017000.0,-59817000.0
Interest Expense,89937000.0,105421000.0,100017000.0,59817000.0
Normalized Income,465690000.0,325129000.0,940524000.0,844245000.0
Net Income From Continuing And Discontinued Operation,465690000.0,325129000.0,940524000.0,844245000.0
Total Expenses,17055815000.0,17081836000.0,23429843000.0,22020030000.0
Total Operating Income As Reported,669141000.0,514607000.0,1266782000.0,1082108000.0
Diluted Average Shares,120679000.0,119677000.0,127150000.0,133834000.0
Basic Average Shares,119805000.0,118551000.0,125743000.0,132482000.0
Diluted EPS,3.86,2.72,7.4,6.31
Basic EPS,3.89,2.74,7.48,6.37
Diluted NI Availto Com Stockholders,465690000.0,325129000.0,940524000.0,844245000.0
Net Income Common Stockholders,465690000.0,325129000.0,940524000.0,844245000.0
Net Income,465690000.0,325129000.0,940524000.0,844245000.0
Net Income Including Noncontrolling Interests,465690000.0,325129000.0,940524000.0,844245000.0
Net Income Continuous Operations,465690000.0,325129000.0,940524000.0,844245000.0
Tax Provision,113514000.0,84057000.0,226241000.0,178046000.0
Pretax Income,579204000.0,409186000.0,1166765000.0,1022291000.0
Net Non Operating Interest Income Expense,-89937000.0,-105421000.0,-100017000.0,-59817000.0
Interest Expense Non Operating,89937000.0,105421000.0,100017000.0,59817000.0
Operating Income,669141000.0,514607000.0,1266782000.0,1082108000.0
Operating Expense,639624000.0,624266000.0,603415000.0,526371000.0
Selling General And Administration,639624000.0,624266000.0,603415000.0,526371000.0
Gross Profit,1308765000.0,1138873000.0,1870197000.0,1608479000.0
Cost Of Revenue,16416191000.0,16457570000.0,22826428000.0,21493659000.0
Total Revenue,17724956000.0,17596443000.0,24696625000.0,23102138000.0
Operating Revenue,17724956000.0,17596443000.0,24696625000.0,23102138000.0
