,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.23,0.239,0.248,0.25
Normalized EBITDA,2898000000.0,2807000000.0,2444000000.0,1759000000.0
Net Income From Continuing Operation Net Minority Interest,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Reconciled Depreciation,237000000.0,214000000.0,205000000.0,187000000.0
Reconciled Cost Of Revenue,10410000000.0,9982000000.0,9379000000.0,8302000000.0
EBITDA,2898000000.0,2807000000.0,2444000000.0,1759000000.0
EBIT,2661000000.0,2593000000.0,2239000000.0,1572000000.0
Net Interest Income,-77000000.0,-93000000.0,-93000000.0,-87000000.0
Interest Expense,77000000.0,93000000.0,93000000.0,87000000.0
Normalized Income,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Net Income From Continuing And Discontinued Operation,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Total Expenses,14531000000.0,13913000000.0,13013000000.0,11475000000.0
Total Operating Income As Reported,2637000000.0,2565000000.0,2215000000.0,1547000000.0
Diluted Average Shares,49000000.0,50100000.0,51100000.0,52200000.0
Basic Average Shares,48900000.0,49900000.0,50900000.0,51900000.0
Diluted EPS,38.71,36.23,30.06,19.84
Basic EPS,38.84,36.39,30.22,19.94
Diluted NI Availto Com Stockholders,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Net Income Common Stockholders,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Net Income,1909000000.0,1829000000.0,1547000000.0,1043000000.0
Minority Interests,-80000000.0,-74000000.0,-66000000.0,-71000000.0
Net Income Including Noncontrolling Interests,1989000000.0,1903000000.0,1613000000.0,1114000000.0
Net Income Continuous Operations,1989000000.0,1903000000.0,1613000000.0,1114000000.0
Tax Provision,595000000.0,597000000.0,533000000.0,371000000.0
Pretax Income,2584000000.0,2500000000.0,2146000000.0,1485000000.0
Other Income Expense,24000000.0,28000000.0,24000000.0,25000000.0
Other Non Operating Income Expenses,24000000.0,28000000.0,24000000.0,25000000.0
Net Non Operating Interest Income Expense,-77000000.0,-93000000.0,-93000000.0,-87000000.0
Interest Expense Non Operating,77000000.0,93000000.0,93000000.0,87000000.0
Operating Income,2637000000.0,2565000000.0,2215000000.0,1547000000.0
Operating Expense,4121000000.0,3931000000.0,3634000000.0,3173000000.0
Selling General And Administration,4121000000.0,3931000000.0,3634000000.0,3173000000.0
Gross Profit,6758000000.0,6496000000.0,5849000000.0,4720000000.0
Cost Of Revenue,10410000000.0,9982000000.0,9379000000.0,8302000000.0
Total Revenue,17168000000.0,16478000000.0,15228000000.0,13022000000.0
Operating Revenue,17168000000.0,16478000000.0,15228000000.0,13022000000.0
