,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.052,0.147,0.157,0.058
Normalized EBITDA,1274476000.0,799692000.0,375717000.0,149298000.0
Net Income From Continuing Operation Net Minority Interest,1152666000.0,639998000.0,285163000.0,111865000.0
Reconciled Depreciation,40985000.0,34904000.0,32471000.0,28185000.0
Reconciled Cost Of Revenue,12927841000.0,5840470000.0,4396098000.0,3022884000.0
EBITDA,1274476000.0,799692000.0,375717000.0,149298000.0
EBIT,1233491000.0,764788000.0,343246000.0,121113000.0
Net Interest Income,-19352000.0,-10491000.0,-6413000.0,-2485000.0
Interest Expense,19352000.0,10491000.0,6413000.0,2485000.0
Normalized Income,1152666000.0,639998000.0,285163000.0,111865000.0
Net Income From Continuing And Discontinued Operation,1152666000.0,639998000.0,285163000.0,111865000.0
Total Expenses,13778477000.0,6362340000.0,4860932000.0,3433475000.0
Total Operating Income As Reported,1210774000.0,761142000.0,335167000.0,123947000.0
Diluted Average Shares,602146000.0,559700000.0,536150000.0,535070000.0
Basic Average Shares,555878000.0,529250000.0,514780000.0,511570000.0
Diluted EPS,1.92,1.143,0.532,0.209
Basic EPS,2.07,1.209,0.554,0.219
Diluted NI Availto Com Stockholders,1154146000.0,639998000.0,285163000.0,111865000.0
Average Dilution Earnings,1480000.0,0.0,0.0,
Net Income Common Stockholders,1152666000.0,639998000.0,285163000.0,111865000.0
Net Income,1152666000.0,639998000.0,285163000.0,111865000.0
Net Income Including Noncontrolling Interests,1152666000.0,639998000.0,285163000.0,111865000.0
Net Income Continuous Operations,1152666000.0,639998000.0,285163000.0,111865000.0
Earnings From Equity Interest Net Of Tax,1821000.0,-3633000.0,1206000.0,173000.0
Tax Provision,63294000.0,110666000.0,52876000.0,6936000.0
Pretax Income,1214139000.0,754297000.0,336833000.0,118628000.0
Other Income Expense,22717000.0,3646000.0,8079000.0,-2834000.0
Other Non Operating Income Expenses,22717000.0,3646000.0,8079000.0,-2834000.0
Net Non Operating Interest Income Expense,-19352000.0,-10491000.0,-6413000.0,-2485000.0
Interest Expense Non Operating,19352000.0,10491000.0,6413000.0,2485000.0
Operating Income,1210774000.0,761142000.0,335167000.0,123947000.0
Operating Expense,850636000.0,521870000.0,464834000.0,410591000.0
Research And Development,463548000.0,307260000.0,272273000.0,224369000.0
Selling General And Administration,387088000.0,214610000.0,192561000.0,186222000.0
Selling And Marketing Expense,189738000.0,115025000.0,90126000.0,85683000.0
General And Administrative Expense,197350000.0,99585000.0,102435000.0,100539000.0
Other Gand A,197350000.0,99585000.0,102435000.0,100539000.0
Gross Profit,2061410000.0,1283012000.0,800001000.0,534538000.0
Cost Of Revenue,12927841000.0,5840470000.0,4396098000.0,3022884000.0
Total Revenue,14989251000.0,7123482000.0,5196099000.0,3557422000.0
Operating Revenue,14989251000.0,7123482000.0,5196099000.0,3557422000.0
