,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-49375000.0,-21384885.764499,-46887096.774194,-10736875.298448,
Tax Rate For Calcs,0.125,0.274165,0.274194,0.256298,
Normalized EBITDA,2944000000.0,1966000000.0,2309000000.0,1846652023.278458,
Total Unusual Items,-395000000.0,-78000000.0,-171000000.0,-41892167.296936,
Total Unusual Items Excluding Goodwill,-395000000.0,-78000000.0,-171000000.0,-41892167.296936,
Net Income From Continuing Operation Net Minority Interest,319000000.0,825000000.0,1034000000.0,768777880.935667,
Reconciled Depreciation,1464000000.0,580000000.0,564000000.0,626118067.978533,
Reconciled Cost Of Revenue,16914000000.0,9039000000.0,10237000000.0,7942528475.351555,
EBITDA,2549000000.0,1888000000.0,2138000000.0,1804759855.981522,
EBIT,1085000000.0,1308000000.0,1574000000.0,1178641788.002989,
Net Interest Income,-398000000.0,-139000000.0,-139000000.0,-141527592.219379,
Interest Expense,525000000.0,170000000.0,148000000.0,144924254.432644,
Interest Income,127000000.0,31000000.0,9000000.0,3396662.213265,
Normalized Income,664625000.0,881615114.235501,1158112903.225806,799933172.934155,
Net Income From Continuing And Discontinued Operation,319000000.0,825000000.0,1034000000.0,768777880.935667,
Total Expenses,19707000000.0,10643000000.0,11780000000.0,10228482144.878965,
Total Operating Income As Reported,1007000000.0,1372000000.0,1558000000.0,1214872851.61115,
Diluted Average Shares,389000000.0,260000000.0,261000000.0,260000000.0,
Basic Average Shares,386000000.0,258000000.0,258000000.0,257000000.0,
Diluted EPS,0.82,3.218924,3.879934,2.956228,
Basic EPS,0.83,3.244349,3.917468,2.987931,
Diluted NI Availto Com Stockholders,319000000.0,825000000.0,1034000000.0,768777880.935667,
Net Income Common Stockholders,319000000.0,825000000.0,1034000000.0,768777880.935667,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0
Net Income,319000000.0,825000000.0,1034000000.0,768777880.935667,
Minority Interests,0.0,-1000000.0,-1000000.0,0.0,
Net Income Including Noncontrolling Interests,319000000.0,826000000.0,1035000000.0,768777880.935667,
Net Income Continuous Operations,319000000.0,826000000.0,1035000000.0,768777880.935667,
Tax Provision,241000000.0,312000000.0,391000000.0,264939652.634678,
Pretax Income,560000000.0,1138000000.0,1426000000.0,1033717533.570345,
Other Income Expense,-444000000.0,-173000000.0,-164000000.0,-39627725.821426,
Other Non Operating Income Expenses,-49000000.0,-95000000.0,7000000.0,,
Special Income Charges,-395000000.0,-78000000.0,-171000000.0,-35098842.870406,
Gain On Sale Of Business,,-37583595.865804,-137266887.580564,,
Other Special Charges,,76272591.610015,-9651578.033008,35098842.870406,-4919807.14356
Write Off,0.0,0.0,159000000.0,,
Impairment Of Capital Assets,0.0,0.0,12000000.0,,
Restructuring And Mergern Acquisition,395000000.0,78000000.0,0.0,,43048312.50615
Earnings From Equity Interest,,2210799.756812,3217192.677669,2264441.47551,1229951.78589
Gain On Sale Of Security,,-12159398.662466,-9651578.033008,-6793324.42653,-8609662.50123
Net Non Operating Interest Income Expense,-398000000.0,-139000000.0,-139000000.0,-141527592.219379,
Interest Expense Non Operating,525000000.0,170000000.0,148000000.0,144924254.432644,
Interest Income Non Operating,127000000.0,31000000.0,9000000.0,3396662.213265,
Operating Income,1402000000.0,1450000000.0,1729000000.0,1214872851.61115,
Operating Expense,2793000000.0,1604000000.0,1543000000.0,2285953669.527411,
Other Operating Expenses,,,239144655.706764,,
Selling General And Administration,2793000000.0,1604000000.0,1543000000.0,2285953669.527411,
Selling And Marketing Expense,,1024705687.282374,1030574054.413452,931817667.172392,891715044.770245
General And Administrative Expense,,1610567622.837561,1544252485.281343,1354136002.355019,1509150841.287022
Other Gand A,,1610567622.837561,1544252485.281343,1354136002.355019,1509150841.287022
Gross Profit,4195000000.0,3054000000.0,3272000000.0,3500826521.138561,
Cost Of Revenue,16914000000.0,9039000000.0,10237000000.0,7942528475.351555,
Total Revenue,21109000000.0,12093000000.0,13509000000.0,11443354996.490116,
Operating Revenue,21109000000.0,12093000000.0,13509000000.0,11443354996.490116,
