,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,25960051.563785,51381941.389485,4125188.831563,51849516.563739,
Tax Rate For Calcs,0.085152,0.073672,0.076601,0.039995,
Normalized EBITDA,2562852000.0,2461045000.0,2235087000.0,2304283000.0,
Total Unusual Items,304868000.0,697446000.0,53853000.0,1296406000.0,
Total Unusual Items Excluding Goodwill,304868000.0,697446000.0,53853000.0,1296406000.0,
Net Income From Continuing Operation Net Minority Interest,602490000.0,948838000.0,377684000.0,1709259000.0,
Reconciled Depreciation,1771797000.0,1694859000.0,1577933000.0,1486632000.0,
Reconciled Cost Of Revenue,2519115000.0,2598071000.0,2017562000.0,1778320000.0,
EBITDA,2867720000.0,3158491000.0,2288940000.0,3600689000.0,
EBIT,1095923000.0,1463632000.0,711007000.0,2114057000.0,
Net Interest Income,-452836000.0,-437741000.0,-299132000.0,-293846000.0,
Interest Expense,452836000.0,437741000.0,299132000.0,293846000.0,
Interest Income,,,,,20222000.0
Normalized Income,323582051.563785,302773941.389485,327956188.831563,464702516.563739,
Net Income From Continuing And Discontinued Operation,602490000.0,948838000.0,377684000.0,1709259000.0,
Total Expenses,4798018000.0,4749515000.0,4030100000.0,3668156000.0,
Total Operating Income As Reported,471864000.0,524461000.0,589968000.0,694009000.0,
Diluted Average Shares,331547000.0,309065000.0,297919336.0,283221968.0,
Basic Average Shares,323336000.0,298603000.0,286333747.0,282474927.0,
Diluted EPS,1.61,3.0,1.13,5.94,
Basic EPS,1.74,3.04,1.18,5.95,
Diluted NI Availto Com Stockholders,534707000.0,890021000.0,332121000.0,1681498000.0,
Average Dilution Earnings,-27059000.0,-18093000.0,-4839000.0,0.0,
Net Income Common Stockholders,561766000.0,908114000.0,336960000.0,1681498000.0,
Otherunder Preferred Stock Dividend,,0.0,0.0,-18000000.0,16520000.0
Preferred Stock Dividends,40724000.0,40724000.0,40724000.0,45761000.0,
Net Income,602490000.0,948838000.0,377684000.0,1709259000.0,
Minority Interests,14163000.0,-1474000.0,-2641000.0,-38153000.0,
Net Income Including Noncontrolling Interests,588327000.0,950312000.0,380325000.0,1747412000.0,
Net Income Continuous Operations,588327000.0,950312000.0,380325000.0,1747412000.0,
Tax Provision,54760000.0,75579000.0,31550000.0,72799000.0,
Pretax Income,643087000.0,1025891000.0,411875000.0,1820211000.0,
Other Income Expense,338973000.0,736086000.0,49273000.0,1354331000.0,
Other Non Operating Income Expenses,154243000.0,68431000.0,8917000.0,-4358000.0,
Special Income Charges,-290957000.0,-203085000.0,-122901000.0,-84389000.0,
Gain On Sale Of Business,,,,0.0,0.0
Other Special Charges,5871000.0,,51135000.0,18672000.0,103215000.0
Write Off,191184000.0,118363000.0,3000000.0,18291000.0,
Impairment Of Capital Assets,,,3000000.0,18291000.0,6482000.0
Restructuring And Mergern Acquisition,93902000.0,84722000.0,68766000.0,47426000.0,
Earnings From Equity Interest,-120138000.0,-29791000.0,-13497000.0,62283000.0,
Gain On Sale Of Security,595825000.0,900531000.0,176754000.0,1380795000.0,
Net Non Operating Interest Income Expense,-452836000.0,-437741000.0,-299132000.0,-293846000.0,
Interest Expense Non Operating,452836000.0,437741000.0,299132000.0,293846000.0,
Interest Income Non Operating,,,,,20222000.0
Operating Income,756950000.0,727546000.0,661734000.0,759726000.0,
Operating Expense,2278903000.0,2151444000.0,2012538000.0,1889836000.0,
Other Operating Expenses,27083000.0,7529000.0,12438000.0,2550000.0,
Depreciation Amortization Depletion Income Statement,1771797000.0,1694859000.0,1577933000.0,1486632000.0,
Depreciation And Amortization In Income Statement,1771797000.0,1694859000.0,1577933000.0,1486632000.0,
Selling General And Administration,480023000.0,449056000.0,422167000.0,400654000.0,
General And Administrative Expense,480023000.0,449056000.0,422167000.0,400654000.0,
Other Gand A,480023000.0,449056000.0,422167000.0,400654000.0,
Gross Profit,3035853000.0,2878990000.0,2674272000.0,2649562000.0,
Cost Of Revenue,2519115000.0,2598071000.0,2017562000.0,1778320000.0,
Total Revenue,5554968000.0,5477061000.0,4691834000.0,4427882000.0,
Operating Revenue,5554968000.0,5477061000.0,4691834000.0,4427882000.0,
