Attribute,Value
Symbol,HLT
Name,Hilton Worldwide Holdings Inc.
Industry,Lodging
Sector,Consumer Cyclical
Country,United States
Market Cap,60796530688
Description,"Hilton Worldwide Holdings Inc., a hospitality company, engages in managing, franchising, owning, and leasing hotels and resorts. It operates in two segments, Management and Franchise, and Ownership. The company engages in the hotel management and licensing of its brand names, trademarks, and service marks. It operates a portfolio of luxury, lifestyle, full service, focused service, all-suites, timeshare, and economy hotels under the Waldorf Astoria Hotels & Resorts, Waldorf Astoria Costa Rica Punta Cacique, LXR Hotels & Resorts, Conrad Hotels & Resorts, Canopy by Hilton, Curio Collection by Hilton, Tapestry Collection by Hilton, Tempo by Hilton, Motto by Hilton, NoMad Hotels, Signia by Hilton, Hilton Hotels & Resorts, Graduate by Hilton, DoubleTree by Hilton, Embassy Suites by Hilton, Hilton Garden Inn, Hampton by Hilton, Tru by Hilton, Spark by Hilton, Homewood Suites by Hilton, Home2 Suites by Hilton, LivSmart Studios by Hilton, and Hilton Grand Vacations brand names. The company has operations in North America, South America, and Central America, including various Caribbean nations; Europe, the Middle East, and Africa; and the Asia Pacific. Hilton Worldwide Holdings Inc. was founded in 1919 and is headquartered in McLean, Virginia."
Website,https://www.hilton.com
Full Time Employees,181000
Currency,USD
Previous Close,252.49
Open,252.35
Bid,255.2
Ask,257.6
Day's Range,250.47 - 255.86
52 Week Range,194.93 - 275.22
Volume,903792
Avg. Volume,2440361
Market Cap (intraday),60796530688
Beta (5Y Monthly),1.234
PE Ratio (TTM),40.469936
EPS (TTM),6.32
Earnings Date,1745920800
Forward Dividend & Yield,0.6 (0.23)
Ex-Dividend Date,1747958400
1y Target Est,249.8124
