Attribute,Value
Symbol,PPL
Name,PPL Corporation
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,25770743808
Description,"PPL Corporation provides electricity and natural gas to approximately 3.5 million customers in the United States. It operates through three segments: Kentucky Regulated, Pennsylvania Regulated, and Rhode Island Regulated. The company delivers electricity to customers in Pennsylvania, Kentucky, Virginia, and Rhode Island; delivers natural gas to customers in Kentucky and Rhode Island; and generates electricity from power plants in Kentucky. PPL Corporation was founded in 1920 and is headquartered in Allentown, Pennsylvania."
Website,https://www.pplweb.com
Full Time Employees,6653
Currency,USD
Previous Close,34.42
Open,34.48
Bid,34.62
Ask,34.86
Day's Range,34.33 - 34.9
52 Week Range,27.24 - 36.7
Volume,4822140
Avg. Volume,5792814
Market Cap (intraday),25770743808
Beta (5Y Monthly),0.717
PE Ratio (TTM),26.014925
EPS (TTM),1.34
Earnings Date,1746012607
Forward Dividend & Yield,1.09 (3.13)
Ex-Dividend Date,1741564800
1y Target Est,37.63125
