Attribute,Value
Symbol,MSI
Name,"Motorola Solutions, Inc."
Industry,Communication Equipment
Sector,Technology
Country,United States
Market Cap,70802423808
Description,"Motorola Solutions, Inc. provides public safety and enterprise security solutions in the United States, the United Kingdom, Canada, and internationally. The company operates in two segments, Products and Systems Integration, and Software and Services. The Products and Systems Integration segment offers a portfolio of infrastructure, devices, accessories, and video security devices and infrastructure, as well as the implementation and integration of systems, devices, software, and applications for government, public safety, and commercial customers who operate private communications networks and video security solutions, as well as manage a mobile workforce. Its land mobile radio communications, and video security and access control devices include two-way portable and vehicle-mounted radios, fixed video cameras, and accessories; communications network core and central processing software, base stations, consoles, and repeaters; and video analytics, network video management hardware and software, and access control solutions. The Software and Services segment provides public safety and enterprise command center, unified communications applications, mobile video equipment, and video software solutions; repair, technical support, and maintenance services; and monitoring, software updates, and cybersecurity services to government, public safety, and commercial communications networks. It serves hospitality; manufacturing; military and defence; public safety; mining; oil and gas; transportation and logistics; utilities industries. The company was formerly known as Motorola, Inc. and changed its name to Motorola Solutions, Inc. in January 2011. Motorola Solutions, Inc. was founded in 1928 and is headquartered in Chicago, Illinois."
Website,https://www.motorolasolutions.com
Full Time Employees,21000
Currency,USD
Previous Close,425.58
Open,425.13
Bid,420.0
Ask,436.0
Day's Range,420.76 - 425.355
52 Week Range,356.77 - 507.82
Volume,1633593
Avg. Volume,958723
Market Cap (intraday),70802423808
Beta (5Y Monthly),0.987
PE Ratio (TTM),35.34833
EPS (TTM),12.0
Earnings Date,1746130200
Forward Dividend & Yield,4.36 (1.03)
Ex-Dividend Date,1749772800
1y Target Est,493.6789
