Attribute,Value
Symbol,TTWO
Name,"Take-Two Interactive Software, "
Industry,Electronic Gaming & Multimedia
Sector,Communication Services
Country,United States
Market Cap,40155656192
Description,"Take-Two Interactive Software, Inc. develops, publishes, and markets interactive entertainment solutions for consumers worldwide. It develops and publishes action/adventure products under the Grand Theft Auto, LA Noire, Max Payne, Midnight Club, and Red Dead Redemption names, as well as other franchises. The company also publishes various entertainment properties across various platforms and a range of genres, such as shooter, action, role-playing, strategy, sports, and family/casual entertainment under the BioShock, Mafia, Sid Meier's Civilization, XCOM series, Borderlands, and Tiny Tina's Wonderland names. In addition, it publishes sports simulation titles comprising NBA 2K series, a basketball video game; the WWE 2K professional wrestling series; mobile titles, including WWE SuperCard; and PGA TOUR 2K. Further, the company offers Kerbal Space Program and OlliOlli World; free-to-play mobile games, such as CSR Racing, Dragon City, Empires & Puzzles, FarmVille, Golf Rival, Harry Potter: Puzzles & Spells, Match Factory!, Merge Dragons!, Merge Magic!, Monster Legends, Toon Blast, Top Eleven, Top Troops, Toy Blast, Two Dots, Words With Friends, and Zynga Poker; and hyper-casual mobile titles, including Fill the Fridge!, Parking Jam 3D, Power Slap, Pull the Pin, Twisted Tangle, and Tangled Snakes. Its products are designed for console gaming systems; personal computers; and mobiles comprising smartphones and tablets. The company provides its products through physical retail, digital download, online platforms, and cloud streaming services. Take-Two Interactive Software, Inc. was incorporated in 1993 and is based in New York, New York."
Website,https://www.take2games.com
Full Time Employees,
Currency,USD
Previous Close,232.34
Open,235.32
Bid,226.34
Ask,227.02
Day's Range,226.11 - 240.78
52 Week Range,135.24 - 240.78
Volume,4374766
Avg. Volume,2075942
Market Cap (intraday),40155656192
Beta (5Y Monthly),1.086
PE Ratio (TTM),
EPS (TTM),-25.58
Earnings Date,1747339500
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,234.11221
