Attribute,Value
Symbol,CAG
Name,"ConAgra Brands, Inc."
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,10969778176
Description,"Conagra Brands, Inc., together with its subsidiaries, operates as a consumer packaged goods food company primarily in the United States. The company operates through four segments: Grocery & Snacks, Refrigerated & Frozen, International, and Foodservice. The Grocery & Snacks segment primarily offers shelf stable food products through various retail channels. The Refrigerated & Frozen segment provides temperature-controlled food products through various retail channels. The International segment offers food products in various temperature states through retail and foodservice channels outside of the United States. The Foodservice segment offers branded and customized food products, including meals, entrees, sauces, and various custom-manufactured culinary products packaged for restaurants and other foodservice establishments. The company sells its products under the Birds Eye, Marie Callender's, Duncan Hines, Healthy Choice, Slim Jim, Reddi-wip, Angie's, BOOMCHICKAPOP brands. The company was incorporated in 1919 and is headquartered in Chicago, Illinois."
Website,https://www.conagrabrands.com
Full Time Employees,18500
Currency,USD
Previous Close,22.77
Open,22.79
Bid,22.8
Ask,23.0
Day's Range,22.665 - 22.985
52 Week Range,22.38 - 33.24
Volume,7915338
Avg. Volume,6516687
Market Cap (intraday),10969778176
Beta (5Y Monthly),0.178
PE Ratio (TTM),33.794117
EPS (TTM),0.68
Earnings Date,1743679807
Forward Dividend & Yield,1.4 (6.09)
Ex-Dividend Date,1745798400
1y Target Est,26.90579
