Attribute,Value
Symbol,NEE
Name,"NextEra Energy, Inc."
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,154397245440
Description,"NextEra Energy, Inc., through its subsidiaries, generates, transmits, distributes, and sells electric power to retail and wholesale customers in North America. The company generates electricity through wind, solar, nuclear, natural gas, and other clean energy. It also develops, constructs, and operates long-term contracted assets that consists of clean energy solutions, such as renewable generation facilities, battery storage facilities, and electric transmission facilities; sells energy commodities; and owns, develops, constructs, manages and operates electric generation facilities in wholesale energy markets. The company had approximately 35,052 megawatts of net generating capacity; approximately 91,000 circuit miles of transmission and distribution lines; and 921 substations. It serves approximately 12 million people through approximately 6 million customer accounts in the east and lower west coasts of Florida. The company was formerly known as FPL Group, Inc. and changed its name to NextEra Energy, Inc. in 2010. NextEra Energy, Inc. was founded in 1925 and is headquartered in Juno Beach, Florida."
Website,https://www.nexteraenergy.com
Full Time Employees,16800
Currency,USD
Previous Close,74.55
Open,74.55
Bid,74.95
Ask,74.49
Day's Range,73.71 - 75.0
52 Week Range,61.72 - 86.1
Volume,12779560
Avg. Volume,12796179
Market Cap (intraday),154397245440
Beta (5Y Monthly),0.684
PE Ratio (TTM),28.089888
EPS (TTM),2.67
Earnings Date,1745411400
Forward Dividend & Yield,2.27 (3.02)
Ex-Dividend Date,1740700800
1y Target Est,81.8581
