Attribute,Value
Symbol,MGM
Name,MGM Resorts International
Industry,Resorts & Casinos
Sector,Consumer Cyclical
Country,United States
Market Cap,9244901376
Description,"MGM Resorts International, through its subsidiaries, operates as a gaming and entertainment company in the United States, China, and internationally. The company operates through four segments: Las Vegas Strip Resorts, Regional Operations, MGM China, and MGM Digital. It operates casino resorts that offer gaming, hotel, convention, dining, entertainment, retail, and other resort amenities, as well as online/digital games through its online platforms. The company's casino operations include slots and table games, as well as live dealer, online sports betting, and iGaming through BetMGM. Its customers include premium gaming customers; leisure and wholesale travel customers; business travelers; and group customers, including conventions, trade associations, and small meetings. The company was formerly known as MGM MIRAGE and changed its name to MGM Resorts International in June 2010. MGM Resorts International was incorporated in 1986 and is based in Las Vegas, Nevada."
Website,https://www.mgmresorts.com
Full Time Employees,60000
Currency,USD
Previous Close,34.39
Open,34.39
Bid,33.69
Ask,33.95
Day's Range,32.87 - 34.395
52 Week Range,25.3 - 47.26
Volume,4680375
Avg. Volume,5911846
Market Cap (intraday),9244901376
Beta (5Y Monthly),1.789
PE Ratio (TTM),15.165179
EPS (TTM),2.24
Earnings Date,1746044104
Forward Dividend & Yield,
Ex-Dividend Date,1670457600
1y Target Est,45.77105
