Attribute,Value
Symbol,EBAY
Name,eBay Inc.
Industry,Internet Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,33107032064
Description,"eBay Inc., together with its subsidiaries, operates marketplace platforms that connect buyers and sellers in the United States, the United Kingdom, China, Germany, and internationally. The company's marketplace platform includes its online marketplace at ebay.com, off-platform businesses, and the eBay suite of mobile apps. Its platforms enable users to list, sell, buy, and pay various products. The company was founded in 1995 and is headquartered in San Jose, California."
Website,https://www.ebayinc.com
Full Time Employees,11500
Currency,USD
Previous Close,70.6
Open,70.8985
Bid,67.09
Ask,74.5
Day's Range,70.43 - 71.9
52 Week Range,51.02 - 71.9
Volume,5429454
Avg. Volume,6071953
Market Cap (intraday),33107032064
Beta (5Y Monthly),1.291
PE Ratio (TTM),17.26923
EPS (TTM),4.16
Earnings Date,1746043505
Forward Dividend & Yield,1.16 (1.61)
Ex-Dividend Date,1748563200
1y Target Est,67.02179
