Attribute,Value
Symbol,MKTX
Name,"MarketAxess Holdings, Inc."
Industry,Capital Markets
Sector,Financial Services
Country,United States
Market Cap,8100742144
Description,"MarketAxess Holdings Inc., together with its subsidiaries, operates an electronic trading platform for institutional investor and broker-dealer firms in the United States, the United Kingdom, and internationally. The company offers trading technology to access liquidity on its platforms in U.S. high-grade bonds, U.S. high-yield bonds, emerging market debt, eurobonds, municipal bonds, U.S. government bonds, and other fixed-income securities; and executes bond trades between and among institutional investor and broker-dealer clients in an all-to-all anonymous trading environment for corporate bonds through its Open Trading protocols. It also provides automated and algorithmic trading solutions, such as X-Pro, a trading platform to combine trading protocols with its proprietary data and pre-trade analytics; and integrated and actionable data offerings, including CP+ and Axess All, a real-time pricing engine, including Auto-X and portfolio trading. In addition, the company offers various pre-and post-trade services, such as processing, trade matching, trade publication, regulatory transaction reporting, and market and reference data across a range of fixed-income and other products. MarketAxess Holdings Inc. was incorporated in 2000 and is headquartered in New York, New York."
Website,https://www.marketaxess.com
Full Time Employees,891
Currency,USD
Previous Close,213.53
Open,215.03
Bid,196.74
Ask,232.24
Day's Range,212.08 - 216.17
52 Week Range,186.84 - 296.68
Volume,529949
Avg. Volume,719455
Market Cap (intraday),8100742144
Beta (5Y Monthly),0.889
PE Ratio (TTM),37.43674
EPS (TTM),5.77
Earnings Date,1746613800
Forward Dividend & Yield,3.04 (1.41)
Ex-Dividend Date,1747785600
1y Target Est,236.83333
