Attribute,Value
Symbol,MOS
Name,Mosaic Company (The)
Industry,Agricultural Inputs
Sector,Basic Materials
Country,United States
Market Cap,11169703936
Description,"The Mosaic Company, through its subsidiaries, produces and markets concentrated phosphate and potash crop nutrients in the United States, Brazil, China, Canada, Paraguay, Argentina, Japan, Colombia, India, Australia, Peru, Mexico, Honduras, the Dominican Republic, Thailand, Indonesia, and internationally. It operates in three segments: Phosphates, Potash, and Mosaic Fertilizantes. The company owns and operates mines and production facilities, which produce concentrated phosphate crop nutrients, such as diammonium phosphate, monoammonium phosphate, and MicroEssentials ammoniated phosphate products; and phosphate based animal feed ingredients under the Biofos and Nexfos brands, as well as produces a double sulfate of potash magnesia product under the K-Mag brand. It also produces and sells potash for use in the manufacturing of mixed crop nutrients and animal feed ingredients, and for industrial use; and for use in the deicing and as a water softener regenerant. In addition, the company provides blended crop nutrients for agricultural use; triple superphosphate, single superphosphate, and dicalcium phosphate; and biological fertilizer complements, industrial products, and other ancillary services. Further, it owns and operates chemical plants, crop nutrient blending and bagging facilities, port terminals, and warehouses; distributes nitrogen based crop nutrients and phosphogypsum; and purchases and sells phosphates, potash, and nitrogen products. The company sells its products to distributors, retail chains, cooperatives, independent retailers and dealers, industrial accounts, animal feed industry, wholesalers, farmers, crop nutrient manufacturers, and national accounts through its sales force. It also exports its products. The Mosaic Company was incorporated in 1987 and is headquartered in Tampa, Florida."
Website,https://mosaicco.com
Full Time Employees,13765
Currency,USD
Previous Close,34.67
Open,34.51
Bid,34.75
Ask,35.35
Day's Range,34.46 - 35.315
52 Week Range,22.36 - 35.32
Volume,5272092
Avg. Volume,6321322
Market Cap (intraday),11169703936
Beta (5Y Monthly),1.103
PE Ratio (TTM),30.353449
EPS (TTM),1.16
Earnings Date,1746561600
Forward Dividend & Yield,0.88 (2.5)
Ex-Dividend Date,1749081600
1y Target Est,36.96714
