Attribute,Value
Symbol,LEN
Name,Lennar Corporation
Industry,Residential Construction
Sector,Consumer Cyclical
Country,United States
Market Cap,29401841664
Description,"Lennar Corporation, together with its subsidiaries, operates as a homebuilder primarily under the Lennar brand in the United States. It operates through Homebuilding East, Homebuilding Central, Homebuilding Texas, Homebuilding West, Financial Services, Multifamily, and Lennar Other segments. The company's homebuilding operations include the construction and sale of single-family attached and detached homes, as well as the purchase, development, and sale of residential land; and development, construction, and management of multifamily rental properties. It also offers residential mortgage financing, title, insurance, and closing services for home buyers and others, as well as originates and sells securitization commercial mortgage loans. In addition, the company is involved in the fund investment activity. It primarily serves first-time, move-up, active adult, and luxury homebuyers. The company was founded in 1954 and is based in Miami, Florida."
Website,https://www.lennar.com
Full Time Employees,13265
Currency,USD
Previous Close,110.11
Open,110.17
Bid,110.75
Ask,111.3
Day's Range,110.01 - 111.99
52 Week Range,98.42 - 187.6089
Volume,2572966
Avg. Volume,2997511
Market Cap (intraday),29401841664
Beta (5Y Monthly),1.434
PE Ratio (TTM),8.164964
EPS (TTM),13.7
Earnings Date,1742504404
Forward Dividend & Yield,2.0 (1.79)
Ex-Dividend Date,1745366400
1y Target Est,136.89626
