Attribute,Value
Symbol,AVB
Name,"AvalonBay Communities, Inc."
Industry,REIT - Residential
Sector,Real Estate
Country,United States
Market Cap,29626781696
Description,"AvalonBay Communities, Inc., a member of the S&P 500, is an equity REIT that develops, redevelops, acquires and manages apartment communities in leading metropolitan areas in New England, the New York/New Jersey Metro area, the Mid-Atlantic, the Pacific Northwest, and Northern and Southern California, as well as in the Company's expansion regions of Raleigh-Durham and Charlotte, North Carolina, Southeast Florida, Dallas and Austin, Texas, and Denver, Colorado. As of December 31, 2024, the Company owned or held a direct or indirect ownership interest in 306 apartment communities containing 93,518 apartment homes in 12 states and the District of Columbia, of which 17 communities were under development."
Website,https://www.avalonbay.com
Full Time Employees,2928
Currency,USD
Previous Close,205.58
Open,206.59
Bid,194.37
Ask,210.1
Day's Range,204.98 - 208.35
52 Week Range,180.4 - 239.29
Volume,806835
Avg. Volume,827025
Market Cap (intraday),29626781696
Beta (5Y Monthly),0.875
PE Ratio (TTM),25.91532
EPS (TTM),8.03
Earnings Date,1746044460
Forward Dividend & Yield,7.0 (3.36)
Ex-Dividend Date,1743379200
1y Target Est,234.0
