Attribute,Value
Symbol,GRMN
Name,Garmin Ltd.
Industry,Scientific & Technical Instruments
Sector,Technology
Country,Switzerland
Market Cap,39524814848
Description,"Garmin Ltd. designs, develops, manufactures, markets, and distributes a range of wireless devices worldwide. The company offers running and multi-sport watches; cycling products; smartwatch devices; scales and monitors; Garmin Connect and Garmin Connect Mobile, which are web and mobile platforms where users can track and analyze their fitness, activities and workouts, and wellness data; and Connect IQ, enables third parties to create applications that run on Garmin devices. It also provides adventure watches; outdoor handhelds and satellite communicators; golf devices; consumer automotive; dog devices; InReach and Gramin response communication device; and Dive devices. In addition, the company designs, manufactures, and markets various aircraft avionics solutions, including integrated flight decks, electronic flight displays and instrumentation, navigation and communication products, automatic flight control systems and safety-enhancing technologies, audio control systems, engine indication systems, traffic awareness and avoidance solutions, ADS-B and transponders, weather information and avoidance solutions, datalink and connectivity solutions, and portable GPS navigators and wearables, as well as service products to the aviation market. Further, it offers chartplotters and multi-function displays, cartography products, fishfinders, sonar products, autopilot systems, radars, compliant instrument displays and sensors, VHF communication radios, handhelds and wearable devices, sailing products, audio products, digital switching products, trolling motors, and lighting products; and domain controllers and infotainment units, as well as software, map database, cameras, wearables, and automotive solutions. The company sells its products through independent retailers, dealers, distributors, installation and repair shops, and original equipment manufacturers, as well as online webshop. Garmin Ltd. was founded in 1989 and is based in Schaffhausen, Switzerland."
Website,https://www.garmin.com
Full Time Employees,21800
Currency,USD
Previous Close,201.92
Open,202.72
Bid,191.84
Ask,212.81
Day's Range,201.46 - 205.36
52 Week Range,158.38 - 246.5
Volume,682897
Avg. Volume,1136584
Market Cap (intraday),39524814848
Beta (5Y Monthly),0.999
PE Ratio (TTM),27.010527
EPS (TTM),7.6
Earnings Date,1746010822
Forward Dividend & Yield,3.6 (1.75)
Ex-Dividend Date,1750032000
1y Target Est,198.5425
