Attribute,Value
Symbol,RF
Name,Regions Financial Corporation
Industry,Banks - Regional
Sector,Financial Services
Country,United States
Market Cap,20306829312
Description,"Regions Financial Corporation, a financial holding company, provides various banking and related products and services to individual and corporate customers. It operates through three segments: Corporate Bank, Consumer Bank, and Wealth Management. The Corporate Bank segment offers commercial banking services, such as commercial and industrial, commercial real estate, and investor real estate lending; equipment lease financing; deposit products; capital markets activities, such as securities underwriting and placement; and loan syndication and placement, foreign exchange, derivatives, merger and acquisition, and other advisory services to corporate, middle market, and commercial real estate developers and investors. The Consumer Bank segment provides consumer banking products and services related to residential first mortgages, home equity lines and loans, consumer credit cards, and other consumer loans, as well as the corresponding deposit relationships. The Wealth Management segment offers credit related products, and retirement and savings solutions; and trust and investment management, asset management, and estate planning to individuals, businesses, governmental institutions, and non-profit entities. It also provides investment and insurance products; home improvement lending, investment advisory services, equipment financing for commercial clients, small business customers, low-income housing tax credit corporate fund syndication services, financing to CRA-qualified customers, and broker-dealer services to commercial clients; and other specialty financing services. The company was founded in 1971 and is headquartered in Birmingham, Alabama."
Website,https://www.regions.com/personal-banking
Full Time Employees,19644
Currency,USD
Previous Close,22.46
Open,22.45
Bid,22.35
Ask,22.59
Day's Range,22.3157 - 22.68
52 Week Range,17.72 - 27.96
Volume,4791907
Avg. Volume,9404687
Market Cap (intraday),20306829312
Beta (5Y Monthly),0.982
PE Ratio (TTM),10.913044
EPS (TTM),2.07
Earnings Date,1752841800
Forward Dividend & Yield,1.0 (4.43)
Ex-Dividend Date,1748822400
1y Target Est,23.85714
