Attribute,Value
Symbol,MLM
Name,"Martin Marietta Materials, Inc."
Industry,Building Materials
Sector,Basic Materials
Country,United States
Market Cap,34005788672
Description,"Martin Marietta Materials, Inc., a natural resource-based building materials company, supplies aggregates and heavy-side building materials to the construction industry in the United States and internationally. It offers crushed stone, sand, and gravel products; ready mixed concrete and asphalt; paving products and services; and Portland and specialty cement for use in the infrastructure projects, and nonresidential and residential construction markets, as well as in the railroad, agricultural, utility, and environmental industries. The company also produces magnesia-based chemicals products, dolomitic lime primarily to customers for steel production and soil stabilization. Its chemical products are used in flame retardants, wastewater treatment, pulp and paper production, and other environmental applications. The company was founded in 1939 and is headquartered in Raleigh, North Carolina."
Website,https://www.martinmarietta.com
Full Time Employees,9400
Currency,USD
Previous Close,552.86
Open,555.42
Bid,563.27
Ask,563.73
Day's Range,556.25 - 565.31
52 Week Range,441.95 - 633.23
Volume,419333
Avg. Volume,574349
Market Cap (intraday),34005788672
Beta (5Y Monthly),0.886
PE Ratio (TTM),32.362595
EPS (TTM),17.43
Earnings Date,1744315200
Forward Dividend & Yield,3.16 (0.56)
Ex-Dividend Date,1748822400
1y Target Est,591.09625
