Attribute,Value
Symbol,AXP
Name,American Express Company
Industry,Credit Services
Sector,Financial Services
Country,United States
Market Cap,209980538880
Description,"American Express Company, together with its subsidiaries, operates as integrated payments company in the United States, Europe, the Middle East and Africa, the Asia Pacific, Australia, New Zealand, Latin America, Canada, the Caribbean, and Internationally. It operates through four segments: U.S. Consumer Services, Commercial Services, International Card Services, and Global Merchant and Network Services. The company's products and services include credit card, charge card, banking, and other payment and financing products; network services; expense management products and services; and travel and lifestyle services. It also provides merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. In addition, the company leases and operates lounges at airports. Further, it designs and develops a software to manage company expenses. The company sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, affiliate marketing, customer referral programs, third-party service providers and business partners, direct mail, telephone, in-house sales teams, telephone, and direct response advertising. American Express Company was founded in 1850 and is based in New York, New York."
Website,https://www.americanexpress.com
Full Time Employees,75100
Currency,USD
Previous Close,299.55
Open,300.36
Bid,295.5
Ask,296.69
Day's Range,297.833 - 301.65
52 Week Range,220.43 - 326.27
Volume,2958954
Avg. Volume,3462266
Market Cap (intraday),209980538880
Beta (5Y Monthly),1.239
PE Ratio (TTM),20.915562
EPS (TTM),14.33
Earnings Date,1744887600
Forward Dividend & Yield,3.28 (1.09)
Ex-Dividend Date,1743724800
1y Target Est,291.17346
