Attribute,Value
Symbol,TRV
Name,"The Travelers Companies, Inc."
Industry,Insurance - Property & Casualty
Sector,Financial Services
Country,United States
Market Cap,61996072960
Description,"The Travelers Companies, Inc., through its subsidiaries, provides a range of commercial and personal property, and casualty insurance products and services to businesses, government units, associations, and individuals in the United States and internationally. The company operates through three segments: Business Insurance, Bond & Specialty Insurance, and Personal Insurance. The Business Insurance segment offers workers' compensation, commercial automobile and property, general liability, commercial multi-peril, employers' liability, public and product liability, professional indemnity, marine, aviation, onshore and offshore energy, construction, terrorism, personal accident, and kidnap and ransom insurance products. This segment operates through select accounts, which serve small businesses; commercial accounts that serve mid-sized businesses; national accounts, which serve large companies; and national property and other that serve large and mid-sized customers, commercial trucking industry, and agricultural businesses, as well as markets and distributes its products through brokers, wholesale agents, and program managers. The Bond & Specialty Insurance segment provides surety, fidelity, management and professional liability, and other property and casualty coverages and related risk management services through independent agencies and brokers. The Personal Insurance segment offers property and casualty insurance covering personal risks, primarily automobile and homeowners' insurance to individuals through independent agencies and brokers. The Travelers Companies, Inc. was founded in 1853 and is based in New York, New York."
Website,https://www.travelers.com
Full Time Employees,34000
Currency,USD
Previous Close,270.9
Open,269.81
Bid,273.47
Ask,273.0
Day's Range,269.81 - 273.89
52 Week Range,200.21 - 273.89
Volume,859233
Avg. Volume,1412068
Market Cap (intraday),61996072960
Beta (5Y Monthly),0.546
PE Ratio (TTM),14.903595
EPS (TTM),18.36
Earnings Date,1744801020
Forward Dividend & Yield,4.4 (1.61)
Ex-Dividend Date,1749513600
1y Target Est,276.2555
