Attribute,Value
Symbol,SHW
Name,Sherwin-Williams Company (The)
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,91095965696
Description,"The Sherwin-Williams Company engages in the development, manufacture, distribution, and sale of paint, coatings, and related products to professional, industrial, commercial and retail customers. It operates through three segments: Paint Stores Group, Consumer Brands Group, and Performance Coatings Group. The Paint Stores Group segment offers architectural paint and coatings; protective and marine products; and OEM product finishes and related products for architectural and industrial paint contractors, and do-it-yourself homeowners under the Sherwin-Williams brand. The Consumer Brands Group segment supplies a portfolio of branded and private-label architectural paints, stains, varnishes, industrial products, wood finishes products, wood preservatives, applicators, corrosion inhibitors, aerosols, caulks, and adhesives to retailers, including home centers and hardware stores, and dedicated dealers and distributors. The Performance Coatings Group segment develops and sells industrial coatings for wood finishing and general industrial applications; automotive refinish products; protective and marine coatings; coil coatings; packaging coatings; and performance-based resins and colorants. This segment serves retailers, dealers, jobbers, licensees, and other third-party distributors. The company has operations in the North and South America, the Caribbean, Europe, Asia, and Australia. The Sherwin-Williams Company was founded in 1866 and is headquartered in Cleveland, Ohio."
Website,https://www.sherwin-williams.com
Full Time Employees,63890
Currency,USD
Previous Close,360.66
Open,360.52
Bid,301.42
Ask,363.0
Day's Range,359.09 - 363.55
52 Week Range,282.09 - 400.42
Volume,892893
Avg. Volume,1933430
Market Cap (intraday),91095965696
Beta (5Y Monthly),1.245
PE Ratio (TTM),34.358223
EPS (TTM),10.58
Earnings Date,1745924408
Forward Dividend & Yield,3.16 (0.87)
Ex-Dividend Date,1747353600
1y Target Est,377.7539
