Attribute,Value
Symbol,DVN
Name,Devon Energy Corporation
Industry,Oil & Gas E&P
Sector,Energy
Country,United States
Market Cap,21356242944
Description,"Devon Energy Corporation, an independent energy company, engages in the exploration, development, and production of oil, natural gas, and natural gas liquids in the United States. It operates in Delaware Basin located in southeast New Mexico and west Texas, Eagle Ford located in North America, Anadarko Basin located in western Oklahoma, Williston Basin located in North Dakota, and Powder River Basin located in Wyoming. Devon Energy Corporation was founded in 1971 and is headquartered in Oklahoma City, Oklahoma."
Website,https://www.devonenergy.com
Full Time Employees,2300
Currency,USD
Previous Close,33.4
Open,33.62
Bid,32.86
Ask,33.04
Day's Range,32.87 - 33.71
52 Week Range,25.89 - 50.24
Volume,5918818
Avg. Volume,9943138
Market Cap (intraday),21356242944
Beta (5Y Monthly),1.046
PE Ratio (TTM),7.5763097
EPS (TTM),4.39
Earnings Date,1746561600
Forward Dividend & Yield,0.96 (2.89)
Ex-Dividend Date,1749772800
1y Target Est,43.17385
