Attribute,Value
Symbol,ITW
Name,Illinois Tool Works Inc.
Industry,Specialty Industrial Machinery
Sector,Industrials
Country,United States
Market Cap,73734610944
Description,"Illinois Tool Works Inc. manufactures and sells industrial products and equipment in the United States and internationally. It operates through seven segments: Automotive OEM; Food Equipment; Test & Measurement and Electronics; Welding; Polymers & Fluids; Construction Products; and Specialty Products. The Automotive OEM segment offers plastic and metal components, fasteners, and assemblies for automobiles, light trucks, and other industrial uses. The Food Equipment segment provides warewashing, refrigeration, cooking, and food processing equipment; kitchen exhaust, ventilation, and pollution control systems; and food equipment maintenance and repair services. The Test & Measurement and Electronics segment produces and sells equipment, consumables, and related software for testing and measuring of materials and structures, as well as equipment and consumables used in the production of electronic subassemblies and microelectronics. The Welding segment produces arc welding equipment; and metal arc welding consumables and related accessories. The Polymers & Fluids segment produces adhesives, sealants, lubrication and cutting fluids, and fluids and polymers for auto aftermarket maintenance and appearance. The Construction Products segment offers engineered fastening systems and solutions for the residential construction, renovation/remodel, and commercial construction markets. The Specialty Products segment provides beverage packaging equipment and consumables, product coding and marking equipment and consumables, and appliance components and fasteners. It serves the automotive OEM and tiers, MRO, commercial food equipment, construction, general industrial, industrial capital goods, consumer durables, automotive aftermarket end, and other markets. The company distributes its products directly to industrial manufacturers, as well as through independent distributors. Illinois Tool Works Inc. was founded in 1912 and is based in Glenview, Illinois."
Website,https://www.itw.com
Full Time Employees,44000
Currency,USD
Previous Close,247.97
Open,248.0
Bid,239.0
Ask,260.0
Day's Range,247.12 - 251.59
52 Week Range,214.66 - 279.13
Volume,1179486
Avg. Volume,1286992
Market Cap (intraday),73734610944
Beta (5Y Monthly),1.139
PE Ratio (TTM),22.125
EPS (TTM),11.36
Earnings Date,1746014400
Forward Dividend & Yield,6.0 (2.39)
Ex-Dividend Date,1751241600
1y Target Est,246.72278
