Attribute,Value
Symbol,NUE
Name,Nucor Corporation
Industry,Steel
Sector,Basic Materials
Country,United States
Market Cap,26804037632
Description,"Nucor Corporation engages in the manufacture and sale of steel and steel products. The company operates in three segments: Steel Mills, Steel Products, and Raw Materials. The Steel Mills segment produces hot-rolled, cold-rolled, and galvanized sheet steel products; plate steel products; wide-flange beams, beam blanks, and H-piling and sheet piling structural steel products; and bar steel products, such as blooms, billets, concrete reinforcing and merchant bars, and engineered special bar quality products. It also engages in the steel trading and rebar distribution businesses. This segment sells its products to steel service centers, fabricators, and manufacturers in the United States, Canada, and Mexico. The Steel Products segment offers steel joists and joist girders, steel decks, and galvanized torque tubes for used in solar arrays, hollow structural section steel tubing, electrical conduit, fabricated concrete reinforcing steel, cold finished steel, steel fasteners, steel grating and expanded metal, wire and wire mesh, metal building systems, insulated metal panels, steel racking, overhead doors, and utility towers and structures for communications and energy transmission. This segment is also involved in the piling distribution business. The Raw Materials segment produces direct reduced iron (DRI); brokers ferrous and nonferrous metals, pig iron, hot briquetted iron, and DRI; supplies ferro-alloys; processes ferrous and nonferrous scrap metal; and engages in the natural gas production and industrial gas business. This segment sells its ferrous scrap to electric arc furnace steel mills and foundries for manufacturing process; and nonferrous scrap metal to aluminum can producers, secondary aluminum smelters, steel mills and other processors, and consumers of various nonferrous metals. Nucor Corporation was founded in 1905 and is based in Charlotte, North Carolina."
Website,https://www.nucor.com
Full Time Employees,32700
Currency,USD
Previous Close,115.46
Open,115.1
Bid,114.32
Ask,116.0
Day's Range,113.89 - 116.34
52 Week Range,97.59 - 173.0
Volume,1235978
Avg. Volume,2604188
Market Cap (intraday),26804037632
Beta (5Y Monthly),1.747
PE Ratio (TTM),20.486773
EPS (TTM),5.67
Earnings Date,1745872207
Forward Dividend & Yield,2.2 (1.89)
Ex-Dividend Date,1743379200
1y Target Est,146.73582
