Attribute,Value
Symbol,SJM
Name,The J.M. Smucker Company
Industry,Packaged Foods
Sector,Consumer Defensive
Country,United States
Market Cap,12077264896
Description,"The J. M. Smucker Company manufactures and markets branded food and beverage products worldwide. It operates in four segments: U.S. Retail Coffee, U.S. Retail Frozen Handheld and Spreads, U.S. Retail Pet Foods, and Sweet Baked Snacks. The company offers coffee, pet snacks, peanut butter, cat food, frozen handheld products, sweet baked goods, fruit and specialty spreads, portion control products, baking mixes and ingredients, toppings and syrups, dog food, cookies, frozen sandwiches and snacks, hot beverages, frozen handheld products, and flour. It provides its products under the Folgers, Café Bustelo, Dunkin', Jif, Smucker's, Smucker's Uncrustables, Meow Mix, Milk-Bone, Pup-Peroni, Canine Carry Outs, Hostess, Voortman, 1850, Robin Hood, and Five Roses brands. The company sells its products through direct sales and brokers to food retailers, club stores, discount and dollar stores, online retailers, pet specialty stores, distributors, drug stores, military commissaries, mass merchandisers, supermarket chains, national mass retailers, convenience stores, vending channels, and foodservice distributors and operators. The J. M. Smucker Company was founded in 1897 and is headquartered in Orrville, Ohio."
Website,https://www.jmsmucker.com
Full Time Employees,9000
Currency,USD
Previous Close,111.57
Open,111.61
Bid,113.44
Ask,113.51
Day's Range,111.3 - 113.63
52 Week Range,98.77 - 125.42
Volume,926992
Avg. Volume,1342949
Market Cap (intraday),12077264896
Beta (5Y Monthly),0.343
PE Ratio (TTM),
EPS (TTM),-2.39
Earnings Date,1749558600
Forward Dividend & Yield,4.32 (3.81)
Ex-Dividend Date,1747353600
1y Target Est,121.19111
