Attribute,Value
Symbol,SO
Name,Southern Company (The)
Industry,Utilities - Regulated Electric
Sector,Utilities
Country,United States
Market Cap,97597849600
Description,"The Southern Company, through its subsidiaries, engages in the generation, transmission, and distribution of electricity. The company develops, constructs, acquires, owns, and manages power generation assets, including renewable energy projects and sells electricity in the wholesale market; distributes natural gas in Illinois, Georgia, Virginia, and Tennessee; operates, constructs, and maintains approximately 78,500 miles of natural gas pipelines and 14 storage facilities; and provides gas marketing services, as well as electric services to retail customers. It also offers distributed energy and resilience solutions, and digital wireless communications and fiber optics services, as well as deploys microgrids for commercial, industrial, governmental, utility customers. The Southern Company was incorporated in 1946 and is headquartered in Atlanta, Georgia."
Website,https://www.southerncompany.com
Full Time Employees,28314
Currency,USD
Previous Close,87.38
Open,87.29
Bid,88.61
Ask,88.88
Day's Range,87.1301 - 88.74
52 Week Range,76.64 - 94.45
Volume,4160697
Avg. Volume,4987966
Market Cap (intraday),97597849600
Beta (5Y Monthly),0.377
PE Ratio (TTM),21.27338
EPS (TTM),4.17
Earnings Date,1746099000
Forward Dividend & Yield,2.96 (3.34)
Ex-Dividend Date,1747612800
1y Target Est,91.85778
