Attribute,Value
Symbol,TJX
Name,"TJX Companies, Inc. (The)"
Industry,Apparel Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,148872773632
Description,"The TJX Companies, Inc., together with its subsidiaries, operates as an off-price apparel and home fashions retailer worldwide. The company operates through four segments: Marmaxx, HomeGoods, TJX Canada, and TJX International. It offers family apparel comprising footwear; accessories, such as beauty and jewelry; home fashion products, including home basics, decorative accessories and giftware, as well as furniture, rugs, lighting, soft home, decorative accessories, tabletop, and cookware; pet and gourmet food; and other merchandise. The company also provides home decor, furniture, and seasonal home merchandise. It sells its products through stores and e-commerce sites. The TJX Companies, Inc. was incorporated in 1962 and is headquartered in Framingham, Massachusetts."
Website,https://www.tjx.com
Full Time Employees,364000
Currency,USD
Previous Close,133.04
Open,133.0
Bid,132.25
Ask,133.15
Day's Range,132.48 - 133.9
52 Week Range,97.53 - 133.9
Volume,4870110
Avg. Volume,5839833
Market Cap (intraday),148872773632
Beta (5Y Monthly),0.937
PE Ratio (TTM),31.374117
EPS (TTM),4.25
Earnings Date,1747830600
Forward Dividend & Yield,1.7 (1.27)
Ex-Dividend Date,1747267200
1y Target Est,134.91048
