Attribute,Value
Symbol,FI
Name,"Fiserv, Inc."
Industry,Information Technology Services
Sector,Technology
Country,United States
Market Cap,92401967104
Description,"Fiserv, Inc. provides payments and financial services technology solutions in the United States, Europe, the Middle East and Africa, Latin America, the Asia-Pacific, and internationally. It operates through the Merchant Solutions and Financial Solutions segments. The company provides merchant acquiring and digital commerce services, mobile payment services, security and fraud protection solutions, stored-value solutions, software-as-a-service, and pay-by-bank solutions, as well as Clover, a point-of-sale and business management platform through various channels, including direct sales teams, strategic partnerships with agent sales forces, independent software vendors, independent sales organizations, financial institutions, and other strategic partners. It also offers debit card processing services, debit network services, security and fraud protection products, bill payment; person-to-person payments, account-to-account transfers, credit card processing services, prepaid card processing services, card production services, print services, government payment processing, student loan processing, and customer loan and deposit account processing; digital banking; financial and risk management; and professional services and consulting, check processing, automated clearing house, and real-time payments. It serves large enterprise, small business, banks, credit union, large financial institution, fintech, public sectors, and software providers. Fiserv, Inc. was incorporated in 1984 and is headquartered in Milwaukee, Wisconsin."
Website,https://www.fiserv.com
Full Time Employees,38000
Currency,USD
Previous Close,159.13
Open,159.5
Bid,162.61
Ask,165.75
Day's Range,159.5 - 167.99
52 Week Range,146.25 - 238.59
Volume,9715880
Avg. Volume,4291050
Market Cap (intraday),92401967104
Beta (5Y Monthly),0.972
PE Ratio (TTM),29.497345
EPS (TTM),5.65
Earnings Date,1745492460
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,224.18324
