Attribute,Value
Symbol,FTNT
Name,"Fortinet, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,80054853632
Description,"Fortinet, Inc. provides cybersecurity and convergence of networking and security solutions worldwide. The company offers secure networking solutions that focus on the convergence of networking and security; network firewall solutions, which consist of FortiGate data centers, hyperscale, and distributed firewalls, as well as encrypted applications; wireless local area network (LAN) solutions; and secure connectivity solutions, including FortiSwitch secure ethernet switches, FortiAP wireless LAN access points, and FortiExtender 5G connectivity gateways. It also provides the Fortinet Unified Secure Access Service Edge (SASE) solutions that include firewall, software-defined wide-area network, secure web gateway, cloud access services broker, data loss prevention, and zero trust network access; and web application firewalls, cloud network security with virtualized firewalls, cloud-native firewalls, cloud-native application protection, and code security. In addition the company offers artificial intelligence-driven security operation solutions, which provides a suite of cybersecurity solutions that identify, protect, detect, respond, and recover from threats, as well as FortiEDR, FortiXDR, FortiNDR, FortiSandbox, FortiDeceptor, FortiDLP, and FortiRecon that helps organizations ensuring attackers face multiple layers of detection and mitigation across endpoints, networks, and applications. Further, it offers FortiGuard application security, content security, device security, NOC/SOC security, and web security services; FortiCare technical support services; and training and certification programs, as well as operates FortiGuard Lab, a cybersecurity threat intelligence and research organization. The company serves large enterprises, communication service providers, government organizations, and small to medium-sized enterprises. Fortinet, Inc. was incorporated in 2000 and is headquartered in Sunnyvale, California."
Website,https://www.fortinet.com
Full Time Employees,14556
Currency,USD
Previous Close,102.56
Open,103.0
Bid,99.19
Ask,108.97
Day's Range,102.69 - 105.11
52 Week Range,54.57 - 114.82
Volume,4213926
Avg. Volume,5281825
Market Cap (intraday),80054853632
Beta (5Y Monthly),1.168
PE Ratio (TTM),43.04115
EPS (TTM),2.43
Earnings Date,1746648358
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,108.51
