Attribute,Value
Symbol,SCHW
Name,Charles Schwab Corporation (The
Industry,Capital Markets
Sector,Financial Services
Country,United States
Market Cap,161147076608
Description,"The Charles Schwab Corporation, together with its subsidiaries, operates as a savings and loan holding company that provides wealth management, securities brokerage, banking, asset management, custody, and financial advisory services in the United States and internationally. The company operates in two segments, Investor Services and Advisor Services. It offers brokerage accounts with equity and fixed income trading, margin lending, options trading, futures and forex trading, and cash management capabilities, including certificates of deposit; third-party mutual funds through the Mutual Fund Marketplace and Mutual Fund OneSource service, as well as mutual fund trading and clearing services to broker-dealers; exchange-traded funds; advisory solutions for managed portfolios, separately managed accounts, customized personal advice for tailored portfolios, specialized planning, and full-time portfolio management; banking products comprising checking and savings accounts, first lien residential real estate mortgage loans, home equity lines of credit, and pledged asset lines; and trust custody services, personal trust reporting services, and administrative trustee services. It provides digital retirement calculators; integrated web-, mobile-, and software-based trading platforms, real-time market data, options trading, premium research, and multi-channel access; self-service education and support tools; online research and analysis tools; equity compensation plan sponsors full-service recordkeeping for stock plans, stock options, restricted stock, performance shares, and stock appreciation rights; retirement plan services; mutual fund clearing services; and advisor services, including interactive tools and educational content. The Company operates through branch offices. The Charles Schwab Corporation was founded in 1971 and is headquartered in Westlake, Texas."
Website,https://www.schwab.com
Full Time Employees,32100
Currency,USD
Previous Close,88.11
Open,88.42
Bid,87.72
Ask,88.79
Day's Range,87.72 - 88.87
52 Week Range,61.01 - 88.87
Volume,4335997
Avg. Volume,10712841
Market Cap (intraday),161147076608
Beta (5Y Monthly),0.895
PE Ratio (TTM),26.87576
EPS (TTM),3.3
Earnings Date,1744889400
Forward Dividend & Yield,1.08 (1.22)
Ex-Dividend Date,1746748800
1y Target Est,90.36842
