Attribute,Value
Symbol,WSM
Name,"Williams-Sonoma, Inc."
Industry,Specialty Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,21470803968
Description,"Williams-Sonoma, Inc. operates as an omni-channel specialty retailer of various products for home. The company offers cooking, dining, and entertaining products, such as cookware, tools, electrics, cutlery, tabletop and bar, outdoor, furniture, and a library of cookbooks. It also provides home furnishings, home decor products and accessories, bedding, lighting, rugs, table essentials, kids accessories, made-to-order lighting, hardware, personalized products, custom gifts, and colorful and vintage-inspired heirloom products. In addition, the company operates a 3-D imaging and augmented reality platform for the home furnishings and decor industry. It offers its products under the Williams Sonoma, Pottery Barn, Pottery Barn Kids, Pottery Barn Teen, West Elm, Williams Sonoma Home, Rejuvenation, Mark and Graham, and GreenRow brand names. The company markets its products through e-commerce websites, direct-mail catalogs, and retail stores. Williams-Sonoma, Inc. was founded in 1956 and is headquartered in San Francisco, California."
Website,https://www.williams-sonomainc.com
Full Time Employees,19600
Currency,USD
Previous Close,171.67
Open,172.2
Bid,173.71
Ask,173.83
Day's Range,170.74 - 175.05
52 Week Range,125.33 - 219.98
Volume,1386321
Avg. Volume,2576211
Market Cap (intraday),21470803968
Beta (5Y Monthly),1.566
PE Ratio (TTM),19.754545
EPS (TTM),8.8
Earnings Date,1747917000
Forward Dividend & Yield,2.64 (1.52)
Ex-Dividend Date,1744848000
1y Target Est,174.7835
