Attribute,Value
Symbol,BKNG
Name,Booking Holdings Inc. Common St
Industry,Travel Services
Sector,Consumer Cyclical
Country,United States
Market Cap,173019054080
Description,"Booking Holdings Inc., together with its subsidiaries, provides online and traditional travel and restaurant reservations and related services in the United States, the Netherlands, and internationally. The company operates Booking.com, which offers online accommodation reservations; and Priceline, which provides discount travel reservations services, as well as online accommodation, flight, rental car reservation services, vacation packages, cruises, activity, and hotel distribution services for partners and affiliates. It also operates Agoda that offers online accommodation reservation, flight, ground transportation, and activities reservation services. In addition, the company operates KAYAK, an online meta-search service that allows consumers to search and compare travel itineraries and prices; and OpenTable for booking online restaurant reservations, as well as reservation management services to restaurants. Further, it offers travel-related insurance products and restaurant management services to consumers, travel service providers, and restaurants; and advertising services. The company was formerly known as The Priceline Group Inc. and changed its name to Booking Holdings Inc. in February 2018. Booking Holdings Inc. was founded in 1997 and is headquartered in Norwalk, Connecticut."
Website,https://www.bookingholdings.com
Full Time Employees,24500
Currency,USD
Previous Close,5237.74
Open,5267.14
Bid,5296.06
Ask,5330.33
Day's Range,5243.235 - 5332.43
52 Week Range,3180.0 - 5337.24
Volume,198989
Avg. Volume,295690
Market Cap (intraday),173019054080
Beta (5Y Monthly),1.425
PE Ratio (TTM),33.111656
EPS (TTM),160.58
Earnings Date,1745956800
Forward Dividend & Yield,38.4 (0.72)
Ex-Dividend Date,1749168000
1y Target Est,5485.003
