Attribute,Value
Symbol,SBUX
Name,Starbucks Corporation
Industry,Restaurants
Sector,Consumer Cyclical
Country,United States
Market Cap,97241751552
Description,"Starbucks Corporation, together with its subsidiaries, operates as a roaster, marketer, and retailer of coffee worldwide. The company operates through three segments: North America, International, and Channel Development. Its stores offer coffee, tea, and other beverages, roasted whole beans and ground coffees, single serve products, and ready-to-drink beverages; and various food products, such as pastries, breakfast sandwiches, and lunch items. The company also licenses its trademarks through licensed stores, and grocery and foodservice accounts. The company offers its products under the Starbucks Coffee, Teavana, Seattle's Best Coffee, Ethos, and Starbucks Reserve brands. It partners with Global Food Banking Network support food security and reduce food waste. Starbucks Corporation was founded in 1971 and is based in Seattle, Washington."
Website,https://www.starbucks.com
Full Time Employees,361000
Currency,USD
Previous Close,86.65
Open,86.63
Bid,80.37
Ask,89.24
Day's Range,84.28 - 86.91
52 Week Range,71.55 - 117.46
Volume,13088871
Avg. Volume,11739147
Market Cap (intraday),97241751552
Beta (5Y Monthly),0.983
PE Ratio (TTM),31.116364
EPS (TTM),2.75
Earnings Date,1745957100
Forward Dividend & Yield,2.44 (2.85)
Ex-Dividend Date,1747353600
1y Target Est,91.76655
