Attribute,Value
Symbol,BG
Name,Bunge Limited
Industry,Farm Products
Sector,Consumer Defensive
Country,United States
Market Cap,10959383552
Description,"Bunge Global SA operates as an agribusiness and food company worldwide. It operates through four segments: Agribusiness, Refined and Specialty Oils, Milling, and Sugar and Bioenergy. The Agribusiness segment purchases, stores, transports, processes, and sells agricultural commodities and commodity products, including oilseeds primarily soybeans, rapeseed, canola, and sunflower seeds, as well as grains comprising wheat and corn; and processes oilseeds into vegetable oils and protein meals. This segment offers its products for animal feed manufacturers, livestock producers, wheat and corn millers, and other oilseed processors, as well as third-party edible oil processing and biofuel companies for biofuel production applications. The Refined and Specialty Oils segment sells packaged and bulk oils and fats that comprise cooking oils, shortenings, margarines, mayonnaise, renewable diesel feedstocks, and other products for baked goods companies, snack food producers, confectioners, restaurant chains, foodservice operators, infant nutrition companies, and other food manufacturers, as well as grocery chains, wholesalers, distributors, and other retailers. This segment also refines and fractionates palm oil, palm kernel oil, coconut oil, and shea butter, and olive oil; and produces specialty ingredients derived from vegetable oils, such as lecithin. The Milling segment provides wheat flours and bakery mixes; corn milling products that comprise dry-milled corn meals and flours, wet-milled masa and flours, and flaking and brewer's grits, as well as soy-fortified corn meal, corn-soy blends, and other products; whole grain and fiber ingredients; die-cut pellets; and non-GMO products. The Sugar and Bioenergy segment produces sugar and ethanol; and generates electricity from burning sugarcane bagasse. Bunge Global SA was founded in 1818 and is headquartered in Chesterfield, Missouri."
Website,https://www.bunge.com
Full Time Employees,23000
Currency,USD
Previous Close,80.02
Open,80.09
Bid,77.55
Ask,81.38
Day's Range,79.76 - 81.68
52 Week Range,67.4 - 114.92
Volume,1226344
Avg. Volume,1809161
Market Cap (intraday),10959383552
Beta (5Y Monthly),0.665
PE Ratio (TTM),10.467266
EPS (TTM),7.79
Earnings Date,1746612000
Forward Dividend & Yield,2.8 (3.43)
Ex-Dividend Date,1747612800
1y Target Est,87.434
