Attribute,Value
Symbol,STE
Name,STERIS plc (Ireland)
Industry,Medical Devices
Sector,Healthcare
Country,United States
Market Cap,24718917632
Description,"STERIS plc provides infection prevention products and services worldwide. It operates through three segments: Healthcare, Applied Sterilization Technologies (AST), and Life Sciences. The Healthcare segment offers cleaning chemistries and sterility assurance products; automated endoscope reprocessing system and tracking products; endoscopy accessories, washers, sterilizers, and other pieces of capital equipment for the operation of a sterile processing department; and equipment used directly in surgical tables, lights, and connectivity solutions, as well as equipment management services. It also provides capital equipment installation, maintenance, upgradation, repair, and troubleshooting services; preventive maintenance programs and repair services; instrument, devices, and endoscope repair and maintenance services; and custom process improvement consulting and outsourced instrument sterile processing services. The AST segment provides contract sterilization and testing services for medical device and pharmaceutical manufacturers through a network of contract sterilization and laboratory facilities, as well as integrated sterilization equipment and control systems to medical device manufacturers and research institutions. The Life Sciences segment designs, manufactures, and sells consumable products, such as pharmaceutical detergents, cleanroom disinfectants and sterilants, pharmaceutical grade and research sterilizers and washers, sterility assurance and maintenance products, vaporized hydrogen peroxide room decontamination systems and sterilizers, and high purity water and pure steam generators. This segment also offers equipment installation, maintenance, upgradation, repair, and troubleshooting services; and preventive maintenance programs and repair services. It serves its products and services to hospitals, other healthcare providers, and pharmaceutical manufacturers. The company was founded in 1985 and is headquartered in Mentor, Ohio."
Website,https://www.steris.com
Full Time Employees,
Currency,USD
Previous Close,246.88
Open,246.64
Bid,250.99
Ask,251.63
Day's Range,245.1 - 252.193
52 Week Range,200.98 - 252.2
Volume,1604203
Avg. Volume,650596
Market Cap (intraday),24718917632
Beta (5Y Monthly),0.957
PE Ratio (TTM),40.842533
EPS (TTM),6.16
Earnings Date,1747254600
Forward Dividend & Yield,2.28 (0.91)
Ex-Dividend Date,1749513600
1y Target Est,259.36124
