Attribute,Value
Symbol,VST
Name,Vistra Corp.
Industry,Utilities - Independent Power Producers
Sector,Utilities
Country,United States
Market Cap,53146177536
Description,"Vistra Corp., together with its subsidiaries, operates as an integrated retail electricity and power generation company in the United States. It operates through five segments: Retail, Texas, East, West, and Asset Closure. The company retails electricity and natural gas to residential, commercial, and industrial customers across states in the United States and the District of Columbia. It also involved in the electricity generation, wholesale energy purchases and sales, commodity risk management, fuel production, and fuel logistics management activities. It serves approximately 5 million customers with a generation capacity of approximately 41,000 megawatts with a portfolio of natural gas, nuclear, coal, solar, and battery energy storage facilities. The company was formerly known as Vistra Energy Corp. and changed its name to Vistra Corp. in July 2020. Vistra Corp. was founded in 1882 and is based in Irving, Texas."
Website,https://vistracorp.com
Full Time Employees,6850
Currency,USD
Previous Close,152.06
Open,156.24
Bid,152.11
Ask,154.25
Day's Range,154.51 - 157.48
52 Week Range,66.5 - 199.84
Volume,6214689
Avg. Volume,8320617
Market Cap (intraday),53146177536
Beta (5Y Monthly),1.176
PE Ratio (TTM),24.820919
EPS (TTM),6.31
Earnings Date,1746615619
Forward Dividend & Yield,0.9 (0.57)
Ex-Dividend Date,1750204800
1y Target Est,164.99278
