Attribute,Value
Symbol,UBER
Name,"Uber Technologies, Inc."
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,191948505088
Description,"Uber Technologies, Inc. develops and operates proprietary technology applications in the United States, Canada, Latin America, Europe, the Middle East, Africa, and the Asia Pacific. It operates through three segments: Mobility, Delivery, and Freight. The Mobility segment connects consumers with a range of transportation modalities, such as ridesharing, carsharing, micromobility, rentals, public transit, taxis, and other modalities; and offers riders in a variety of vehicle types, as well as financial partnerships products and advertising services. The Delivery segment allows consumers to search for and discover restaurants to grocery, alcohol, convenience, and other retails, as well as order a meal or other items, and either pick-up at the restaurant or have it delivered; and provides Uber direct, a white-label delivery-as-a-service for retailers and restaurants, as well as advertising services. The Freight segment manages transportation and logistics network, which connects shippers and carriers in digital marketplace, including carriers upfronts, pricing, and shipment booking; and offers on-demand platform to automate logistics end-to-end transactions for small-and medium-sized business to global enterprises. The company was formerly known as Ubercab, Inc. and changed its name to Uber Technologies, Inc. in February 2011. Uber Technologies, Inc. was founded in 2009 and is headquartered in San Francisco, California."
Website,https://www.uber.com
Full Time Employees,31100
Currency,USD
Previous Close,90.16
Open,90.55
Bid,90.0
Ask,90.19
Day's Range,89.7103 - 92.9
52 Week Range,54.84 - 92.9
Volume,19487291
Avg. Volume,20544403
Market Cap (intraday),191948505088
Beta (5Y Monthly),1.433
PE Ratio (TTM),16.075306
EPS (TTM),5.71
Earnings Date,1746615300
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,94.9349
